Table Va. Energies are in eV and Cross Sections are in Angstrom^2.

Energy         	v=0         	v=1         	v=2         	v=3         	v=4         	v=5         	v=6         	v=7         	v=8
14         	         	         	         	         	         	         	1.44(-04)	2.86(-03)	4.76(-03)
15         	         	         	         	         	1.89(-03)	4.35(-03)	4.56(-03)	6.93(-03)	8.40(-03)
16         	         	         	2.41(-03)	1.68(-03)	3.04(-03)	5.01(-03)	5.24(-03)	7.72(-03)	9.50(-03)
17         	8.74(-04)	4.24(-03)	6.73(-03)	5.73(-03)	6.55(-03)	8.08(-03)	8.05(-03)	1.06(-02)	1.23(-02)
18         	1.18(-03)	4.69(-03)	7.24(-03)	6.59(-03)	7.67(-03)	9.51(-03)	9.81(-03)	1.26(-02)	1.45(-02)
19         	1.11(-03)	4.44(-03)	6.99(-03)	6.49(-03)	7.87(-03)	1.00(-02)	1.05(-02)	1.38(-02)	1.58(-02)
20         	1.06(-03)	4.29(-03)	6.83(-03)	6.38(-03)	7.91(-03)	1.03(-02)	1.10(-02)	1.45(-02)	1.67(-02)
21         	1.03(-03)	4.28(-03)	6.87(-03)	6.43(-03)	8.09(-03)	1.06(-02)	1.15(-02)	1.51(-02)	1.73(-02)
22         	1.03(-03)	4.36(-03)	7.04(-03)	6.61(-03)	8.38(-03)	1.11(-02)	1.20(-02)	1.57(-02)	1.80(-02)
23         	1.06(-03)	4.51(-03)	7.30(-03)	6.85(-03)	8.72(-03)	1.15(-02)	1.24(-02)	1.63(-02)	1.85(-02)
24         	1.09(-03)	4.69(-03)	7.59(-03)	7.13(-03)	9.06(-03)	1.19(-02)	1.29(-02)	1.67(-02)	1.89(-02)
25         	1.14(-03)	4.88(-03)	7.89(-03)	7.41(-03)	9.40(-03)	1.23(-02)	1.32(-02)	1.71(-02)	1.92(-02)
26         	1.18(-03)	5.06(-03)	8.18(-03)	7.68(-03)	9.70(-03)	1.27(-02)	1.36(-02)	1.74(-02)	1.95(-02)
27         	1.22(-03)	5.24(-03)	8.45(-03)	7.93(-03)	9.98(-03)	1.30(-02)	1.38(-02)	1.76(-02)	1.97(-02)
28         	1.26(-03)	5.40(-03)	8.70(-03)	8.16(-03)	1.02(-02)	1.32(-02)	1.41(-02)	1.78(-02)	1.98(-02)
29         	1.30(-03)	5.55(-03)	8.93(-03)	8.36(-03)	1.04(-02)	1.35(-02)	1.42(-02)	1.80(-02)	1.99(-02)
30         	1.34(-03)	5.68(-03)	9.13(-03)	8.54(-03)	1.06(-02)	1.36(-02)	1.44(-02)	1.80(-02)	1.99(-02)
31         	1.37(-03)	5.79(-03)	9.30(-03)	8.70(-03)	1.08(-02)	1.38(-02)	1.45(-02)	1.81(-02)	1.99(-02)
32         	1.40(-03)	5.90(-03)	9.46(-03)	8.83(-03)	1.09(-02)	1.39(-02)	1.46(-02)	1.81(-02)	1.99(-02)
33         	1.42(-03)	5.99(-03)	9.59(-03)	8.95(-03)	1.10(-02)	1.40(-02)	1.46(-02)	1.81(-02)	1.98(-02)
34         	1.44(-03)	6.06(-03)	9.70(-03)	9.05(-03)	1.11(-02)	1.40(-02)	1.46(-02)	1.80(-02)	1.97(-02)
35         	1.46(-03)	6.13(-03)	9.80(-03)	9.13(-03)	1.12(-02)	1.41(-02)	1.46(-02)	1.80(-02)	1.96(-02)
36         	1.48(-03)	6.19(-03)	9.88(-03)	9.20(-03)	1.12(-02)	1.41(-02)	1.46(-02)	1.79(-02)	1.95(-02)
37         	1.50(-03)	6.24(-03)	9.95(-03)	9.26(-03)	1.13(-02)	1.41(-02)	1.46(-02)	1.78(-02)	1.94(-02)
38         	1.51(-03)	6.28(-03)	1.00(-02)	9.30(-03)	1.13(-02)	1.41(-02)	1.46(-02)	1.77(-02)	1.93(-02)
39         	1.52(-03)	6.31(-03)	1.00(-02)	9.33(-03)	1.13(-02)	1.41(-02)	1.45(-02)	1.76(-02)	1.91(-02)
40         	1.53(-03)	6.33(-03)	1.01(-02)	9.36(-03)	1.13(-02)	1.41(-02)	1.45(-02)	1.75(-02)	1.90(-02)
41         	1.54(-03)	6.35(-03)	1.01(-02)	9.37(-03)	1.13(-02)	1.40(-02)	1.44(-02)	1.74(-02)	1.88(-02)
42         	1.54(-03)	6.37(-03)	1.01(-02)	9.38(-03)	1.13(-02)	1.40(-02)	1.43(-02)	1.73(-02)	1.87(-02)
43         	1.55(-03)	6.38(-03)	1.01(-02)	9.38(-03)	1.13(-02)	1.39(-02)	1.43(-02)	1.72(-02)	1.85(-02)
44         	1.55(-03)	6.38(-03)	1.01(-02)	9.38(-03)	1.12(-02)	1.39(-02)	1.42(-02)	1.70(-02)	1.83(-02)
45         	1.55(-03)	6.38(-03)	1.01(-02)	9.37(-03)	1.12(-02)	1.38(-02)	1.41(-02)	1.69(-02)	1.82(-02)
46         	1.55(-03)	6.38(-03)	1.01(-02)	9.36(-03)	1.12(-02)	1.38(-02)	1.40(-02)	1.68(-02)	1.80(-02)
47         	1.55(-03)	6.37(-03)	1.01(-02)	9.34(-03)	1.11(-02)	1.37(-02)	1.39(-02)	1.66(-02)	1.79(-02)
48         	1.55(-03)	6.37(-03)	1.01(-02)	9.32(-03)	1.11(-02)	1.36(-02)	1.38(-02)	1.65(-02)	1.77(-02)
49         	1.55(-03)	6.36(-03)	1.01(-02)	9.29(-03)	1.10(-02)	1.36(-02)	1.37(-02)	1.64(-02)	1.76(-02)
50         	1.55(-03)	6.34(-03)	1.00(-02)	9.26(-03)	1.10(-02)	1.35(-02)	1.37(-02)	1.62(-02)	1.74(-02)
55         	1.54(-03)	6.25(-03)	9.87(-03)	9.09(-03)	1.07(-02)	1.31(-02)	1.32(-02)	1.56(-02)	1.66(-02)
60         	1.52(-03)	6.13(-03)	9.67(-03)	8.89(-03)	1.04(-02)	1.27(-02)	1.27(-02)	1.49(-02)	1.59(-02)
65         	1.49(-03)	6.00(-03)	9.44(-03)	8.67(-03)	1.02(-02)	1.22(-02)	1.22(-02)	1.43(-02)	1.52(-02)
70         	1.46(-03)	5.85(-03)	9.21(-03)	8.44(-03)	9.85(-03)	1.19(-02)	1.18(-02)	1.38(-02)	1.46(-02)
75         	1.42(-03)	5.71(-03)	8.97(-03)	8.22(-03)	9.56(-03)	1.15(-02)	1.14(-02)	1.32(-02)	1.40(-02)
100         	1.27(-03)	5.04(-03)	7.89(-03)	7.19(-03)	8.28(-03)	9.84(-03)	9.67(-03)	1.11(-02)	1.16(-02)
150         	1.03(-03)	4.04(-03)	6.31(-03)	5.72(-03)	6.52(-03)	7.66(-03)	7.45(-03)	8.45(-03)	8.79(-03)
200         	8.62(-04)	3.38(-03)	5.27(-03)	4.77(-03)	5.40(-03)	6.31(-03)	6.09(-03)	6.87(-03)	7.12(-03)




Energy         	v=9         	v=10         	v=11         	v=12         	v=13         	v=14
13         	1.59(-04)	2.20(-03)	2.07(-03)	8.65(-04)	3.15(-04)	2.49(-04)
14         	4.29(-03)	5.31(-03)	4.30(-03)	1.83(-03)	6.62(-04)	3.91(-04)
15         	7.28(-03)	7.56(-03)	5.71(-03)	2.32(-03)	8.27(-04)	4.44(-04)
16         	8.39(-03)	8.58(-03)	6.47(-03)	2.52(-03)	8.90(-04)	4.65(-04)
17         	1.02(-02)	9.92(-03)	7.14(-03)	2.63(-03)	8.94(-04)	4.54(-04)
18         	1.24(-02)	1.16(-02)	8.39(-03)	2.92(-03)	9.73(-04)	4.79(-04)
19         	1.36(-02)	1.27(-02)	9.12(-03)	3.13(-03)	9.89(-04)	4.84(-04)
20         	1.43(-02)	1.33(-02)	9.62(-03)	3.22(-03)	9.86(-04)	4.79(-04)
21         	1.49(-02)	1.39(-02)	9.97(-03)	3.30(-03)	9.74(-04)	4.72(-04)
22         	1.55(-02)	1.43(-02)	1.03(-02)	3.37(-03)	9.69(-04)	4.68(-04)
23         	1.59(-02)	1.47(-02)	1.06(-02)	3.46(-03)	9.73(-04)	4.68(-04)
24         	1.63(-02)	1.50(-02)	1.08(-02)	3.56(-03)	9.85(-04)	4.72(-04)
25         	1.66(-02)	1.53(-02)	1.10(-02)	3.66(-03)	1.00(-03)	4.79(-04)
26         	1.68(-02)	1.55(-02)	1.12(-02)	3.76(-03)	1.03(-03)	4.89(-04)
27         	1.70(-02)	1.56(-02)	1.14(-02)	3.85(-03)	1.05(-03)	5.00(-04)
28         	1.71(-02)	1.57(-02)	1.15(-02)	3.94(-03)	1.08(-03)	5.13(-04)
29         	1.72(-02)	1.58(-02)	1.16(-02)	4.03(-03)	1.11(-03)	5.26(-04)
30         	1.72(-02)	1.59(-02)	1.16(-02)	4.10(-03)	1.14(-03)	5.40(-04)
31         	1.72(-02)	1.59(-02)	1.17(-02)	4.17(-03)	1.17(-03)	5.55(-04)
32         	1.72(-02)	1.58(-02)	1.17(-02)	4.23(-03)	1.19(-03)	5.69(-04)
33         	1.71(-02)	1.58(-02)	1.17(-02)	4.29(-03)	1.22(-03)	5.83(-04)
34         	1.71(-02)	1.58(-02)	1.17(-02)	4.34(-03)	1.25(-03)	5.97(-04)
35         	1.70(-02)	1.57(-02)	1.17(-02)	4.38(-03)	1.28(-03)	6.10(-04)
36         	1.69(-02)	1.56(-02)	1.16(-02)	4.42(-03)	1.30(-03)	6.23(-04)
37         	1.68(-02)	1.55(-02)	1.16(-02)	4.46(-03)	1.32(-03)	6.36(-04)
38         	1.67(-02)	1.54(-02)	1.16(-02)	4.48(-03)	1.34(-03)	6.48(-04)
39         	1.66(-02)	1.53(-02)	1.15(-02)	4.51(-03)	1.37(-03)	6.60(-04)
40         	1.64(-02)	1.52(-02)	1.15(-02)	4.53(-03)	1.39(-03)	6.70(-04)
41         	1.63(-02)	1.51(-02)	1.14(-02)	4.54(-03)	1.40(-03)	6.81(-04)
42         	1.62(-02)	1.50(-02)	1.13(-02)	4.55(-03)	1.42(-03)	6.91(-04)
43         	1.60(-02)	1.49(-02)	1.13(-02)	4.56(-03)	1.44(-03)	7.00(-04)
44         	1.59(-02)	1.48(-02)	1.12(-02)	4.57(-03)	1.45(-03)	7.09(-04)
45         	1.58(-02)	1.47(-02)	1.11(-02)	4.57(-03)	1.47(-03)	7.18(-04)
46         	1.56(-02)	1.45(-02)	1.10(-02)	4.58(-03)	1.48(-03)	7.26(-04)
47         	1.55(-02)	1.44(-02)	1.10(-02)	4.58(-03)	1.49(-03)	7.33(-04)
48         	1.54(-02)	1.43(-02)	1.09(-02)	4.57(-03)	1.50(-03)	7.40(-04)
49         	1.52(-02)	1.42(-02)	1.08(-02)	4.57(-03)	1.51(-03)	7.47(-04)
50         	1.51(-02)	1.41(-02)	1.07(-02)	4.56(-03)	1.52(-03)	7.53(-04)
55         	1.44(-02)	1.35(-02)	1.03(-02)	4.52(-03)	1.56(-03)	7.79(-04)
60         	1.38(-02)	1.29(-02)	9.92(-03)	4.45(-03)	1.58(-03)	7.97(-04)
65         	1.32(-02)	1.24(-02)	9.55(-03)	4.37(-03)	1.59(-03)	8.09(-04)
70         	1.27(-02)	1.19(-02)	9.20(-03)	4.28(-03)	1.60(-03)	8.16(-04)
75         	1.22(-02)	1.14(-02)	8.87(-03)	4.19(-03)	1.59(-03)	8.19(-04)
100         	1.02(-02)	9.57(-03)	7.51(-03)	3.75(-03)	1.53(-03)	8.06(-04)
150         	7.68(-03)	7.27(-03)	5.77(-03)	3.06(-03)	1.35(-03)	7.31(-04)
200         	6.22(-03)	5.91(-03)	4.72(-03)	2.59(-03)	1.20(-03)	6.57(-04)

