Table XIIIa. Energies are in eV and Cross Sections are in Angstrom^2.

Energy         	v=0         	v=1         	v=2         	v=3         	v=4         	v=5         	v=6         	v=7         	v=8
12         	         	         	         	         	         	         	2.64(-05)	2.11(-03)	1.97(-03)
13         	         	         	         	         	9.98(-03)	1.17(-02)	1.22(-02)	1.15(-02)	9.87(-03)
14         	         	8.18(-03)	1.18(-02)	1.41(-02)	1.60(-02)	1.63(-02)	1.67(-02)	1.63(-02)	1.45(-02)
15         	9.89(-03)	1.59(-02)	1.79(-02)	1.86(-02)	1.97(-02)	2.02(-02)	2.10(-02)	2.09(-02)	1.89(-02)
16         	2.06(-02)	2.08(-02)	1.95(-02)	1.95(-02)	2.07(-02)	2.13(-02)	2.25(-02)	2.28(-02)	2.09(-02)
17         	2.28(-02)	2.39(-02)	2.35(-02)	2.36(-02)	2.48(-02)	2.54(-02)	2.65(-02)	2.67(-02)	2.45(-02)
18         	2.18(-02)	2.40(-02)	2.43(-02)	2.52(-02)	2.69(-02)	2.79(-02)	2.94(-02)	2.97(-02)	2.72(-02)
19         	2.13(-02)	2.42(-02)	2.48(-02)	2.60(-02)	2.82(-02)	2.93(-02)	3.11(-02)	3.15(-02)	2.90(-02)
20         	2.15(-02)	2.48(-02)	2.56(-02)	2.69(-02)	2.92(-02)	3.05(-02)	3.24(-02)	3.27(-02)	3.01(-02)
21         	2.22(-02)	2.57(-02)	2.65(-02)	2.79(-02)	3.03(-02)	3.16(-02)	3.34(-02)	3.37(-02)	3.10(-02)
22         	2.30(-02)	2.68(-02)	2.75(-02)	2.89(-02)	3.13(-02)	3.25(-02)	3.43(-02)	3.45(-02)	3.17(-02)
23         	2.40(-02)	2.78(-02)	2.85(-02)	2.99(-02)	3.23(-02)	3.34(-02)	3.51(-02)	3.52(-02)	3.23(-02)
24         	2.50(-02)	2.88(-02)	2.95(-02)	3.08(-02)	3.31(-02)	3.41(-02)	3.58(-02)	3.57(-02)	3.27(-02)
25         	2.59(-02)	2.98(-02)	3.04(-02)	3.16(-02)	3.38(-02)	3.48(-02)	3.62(-02)	3.61(-02)	3.30(-02)
26         	2.68(-02)	3.06(-02)	3.11(-02)	3.22(-02)	3.44(-02)	3.53(-02)	3.66(-02)	3.64(-02)	3.32(-02)
27         	2.76(-02)	3.14(-02)	3.18(-02)	3.28(-02)	3.49(-02)	3.57(-02)	3.69(-02)	3.65(-02)	3.33(-02)
28         	2.82(-02)	3.20(-02)	3.24(-02)	3.33(-02)	3.53(-02)	3.60(-02)	3.71(-02)	3.66(-02)	3.33(-02)
29         	2.89(-02)	3.25(-02)	3.29(-02)	3.37(-02)	3.56(-02)	3.62(-02)	3.72(-02)	3.66(-02)	3.32(-02)
30         	2.94(-02)	3.30(-02)	3.33(-02)	3.40(-02)	3.59(-02)	3.63(-02)	3.72(-02)	3.65(-02)	3.31(-02)
31         	2.99(-02)	3.34(-02)	3.36(-02)	3.43(-02)	3.60(-02)	3.64(-02)	3.72(-02)	3.64(-02)	3.30(-02)
32         	3.02(-02)	3.37(-02)	3.39(-02)	3.45(-02)	3.61(-02)	3.64(-02)	3.71(-02)	3.62(-02)	3.28(-02)
33         	3.06(-02)	3.40(-02)	3.41(-02)	3.46(-02)	3.62(-02)	3.64(-02)	3.70(-02)	3.60(-02)	3.26(-02)
34         	3.09(-02)	3.42(-02)	3.42(-02)	3.47(-02)	3.62(-02)	3.63(-02)	3.68(-02)	3.58(-02)	3.23(-02)
35         	3.11(-02)	3.44(-02)	3.44(-02)	3.48(-02)	3.62(-02)	3.62(-02)	3.66(-02)	3.56(-02)	3.21(-02)
36         	3.13(-02)	3.45(-02)	3.44(-02)	3.48(-02)	3.61(-02)	3.61(-02)	3.64(-02)	3.53(-02)	3.18(-02)
37         	3.14(-02)	3.45(-02)	3.45(-02)	3.48(-02)	3.60(-02)	3.60(-02)	3.62(-02)	3.50(-02)	3.15(-02)
38         	3.15(-02)	3.46(-02)	3.45(-02)	3.47(-02)	3.59(-02)	3.58(-02)	3.60(-02)	3.48(-02)	3.13(-02)
39         	3.16(-02)	3.46(-02)	3.44(-02)	3.47(-02)	3.58(-02)	3.56(-02)	3.57(-02)	3.45(-02)	3.10(-02)
40         	3.16(-02)	3.46(-02)	3.44(-02)	3.46(-02)	3.56(-02)	3.54(-02)	3.55(-02)	3.42(-02)	3.07(-02)
41         	3.17(-02)	3.45(-02)	3.43(-02)	3.44(-02)	3.54(-02)	3.52(-02)	3.52(-02)	3.39(-02)	3.04(-02)
42         	3.17(-02)	3.45(-02)	3.43(-02)	3.43(-02)	3.53(-02)	3.50(-02)	3.49(-02)	3.36(-02)	3.01(-02)
43         	3.17(-02)	3.44(-02)	3.42(-02)	3.42(-02)	3.51(-02)	3.47(-02)	3.46(-02)	3.32(-02)	2.98(-02)
44         	3.16(-02)	3.43(-02)	3.40(-02)	3.40(-02)	3.49(-02)	3.45(-02)	3.43(-02)	3.29(-02)	2.95(-02)
45         	3.16(-02)	3.42(-02)	3.39(-02)	3.39(-02)	3.47(-02)	3.42(-02)	3.41(-02)	3.26(-02)	2.92(-02)
46         	3.15(-02)	3.41(-02)	3.38(-02)	3.37(-02)	3.44(-02)	3.40(-02)	3.38(-02)	3.23(-02)	2.89(-02)
47         	3.14(-02)	3.40(-02)	3.36(-02)	3.35(-02)	3.42(-02)	3.38(-02)	3.35(-02)	3.20(-02)	2.86(-02)
48         	3.14(-02)	3.38(-02)	3.35(-02)	3.33(-02)	3.40(-02)	3.35(-02)	3.32(-02)	3.17(-02)	2.83(-02)
49         	3.13(-02)	3.37(-02)	3.33(-02)	3.32(-02)	3.38(-02)	3.33(-02)	3.29(-02)	3.14(-02)	2.80(-02)
50         	3.12(-02)	3.36(-02)	3.32(-02)	3.30(-02)	3.36(-02)	3.30(-02)	3.26(-02)	3.11(-02)	2.78(-02)
60         	2.98(-02)	3.18(-02)	3.14(-02)	3.10(-02)	3.12(-02)	3.05(-02)	2.99(-02)	2.83(-02)	2.52(-02)
70         	2.83(-02)	3.00(-02)	2.95(-02)	2.90(-02)	2.91(-02)	2.83(-02)	2.75(-02)	2.59(-02)	2.30(-02)
85         	2.61(-02)	2.75(-02)	2.69(-02)	2.63(-02)	2.63(-02)	2.54(-02)	2.46(-02)	2.30(-02)	2.03(-02)
100         	2.41(-02)	2.53(-02)	2.47(-02)	2.41(-02)	2.39(-02)	2.31(-02)	2.22(-02)	2.07(-02)	1.82(-02)
150         	1.92(-02)	2.00(-02)	1.95(-02)	1.88(-02)	1.85(-02)	1.77(-02)	1.69(-02)	1.56(-02)	1.37(-02)
200         	1.60(-02)	1.66(-02)	1.61(-02)	1.55(-02)	1.52(-02)	1.45(-02)	1.37(-02)	1.26(-02)	1.10(-02)




Energy         	v=9         	v=10         	v=11         	v=12         	v=13         	v=14
11         	1.14(-08)	5.92(-07)	3.25(-06)	6.44(-06)	3.09(-06)	9.68(-07)
12         	1.60(-03)	2.29(-03)	6.31(-03)	9.02(-03)	1.01(-02)	1.54(-02)
13         	7.34(-03)	6.15(-03)	8.11(-03)	8.96(-03)	9.30(-03)	1.39(-02)
14         	1.13(-02)	9.27(-03)	1.04(-02)	9.29(-03)	8.72(-03)	1.26(-02)
15         	1.47(-02)	1.18(-02)	1.23(-02)	9.65(-03)	8.23(-03)	1.16(-02)
16         	1.65(-02)	1.32(-02)	1.36(-02)	1.01(-02)	7.94(-03)	1.08(-02)
17         	1.88(-02)	1.48(-02)	1.47(-02)	1.06(-02)	7.86(-03)	1.04(-02)
18         	2.15(-02)	1.67(-02)	1.63(-02)	1.13(-02)	8.04(-03)	1.04(-02)
19         	2.29(-02)	1.80(-02)	1.73(-02)	1.19(-02)	8.29(-03)	1.05(-02)
20         	2.40(-02)	1.88(-02)	1.80(-02)	1.24(-02)	8.58(-03)	1.08(-02)
21         	2.47(-02)	1.93(-02)	1.85(-02)	1.29(-02)	8.91(-03)	1.11(-02)
22         	2.53(-02)	1.98(-02)	1.89(-02)	1.33(-02)	9.26(-03)	1.16(-02)
23         	2.58(-02)	2.02(-02)	1.92(-02)	1.36(-02)	9.61(-03)	1.21(-02)
24         	2.61(-02)	2.05(-02)	1.95(-02)	1.39(-02)	9.96(-03)	1.25(-02)
25         	2.64(-02)	2.08(-02)	1.97(-02)	1.42(-02)	1.03(-02)	1.30(-02)
26         	2.66(-02)	2.10(-02)	1.99(-02)	1.45(-02)	1.06(-02)	1.35(-02)
27         	2.67(-02)	2.11(-02)	2.00(-02)	1.47(-02)	1.09(-02)	1.39(-02)
28         	2.67(-02)	2.12(-02)	2.01(-02)	1.49(-02)	1.12(-02)	1.44(-02)
29         	2.67(-02)	2.12(-02)	2.01(-02)	1.51(-02)	1.15(-02)	1.48(-02)
30         	2.67(-02)	2.12(-02)	2.01(-02)	1.52(-02)	1.17(-02)	1.52(-02)
31         	2.66(-02)	2.12(-02)	2.01(-02)	1.53(-02)	1.19(-02)	1.55(-02)
32         	2.65(-02)	2.11(-02)	2.00(-02)	1.54(-02)	1.21(-02)	1.59(-02)
33         	2.63(-02)	2.10(-02)	1.99(-02)	1.54(-02)	1.23(-02)	1.62(-02)
34         	2.61(-02)	2.09(-02)	1.98(-02)	1.55(-02)	1.25(-02)	1.65(-02)
35         	2.59(-02)	2.08(-02)	1.97(-02)	1.55(-02)	1.26(-02)	1.67(-02)
36         	2.57(-02)	2.06(-02)	1.96(-02)	1.55(-02)	1.27(-02)	1.70(-02)
37         	2.55(-02)	2.05(-02)	1.95(-02)	1.56(-02)	1.28(-02)	1.72(-02)
38         	2.53(-02)	2.03(-02)	1.94(-02)	1.55(-02)	1.30(-02)	1.74(-02)
39         	2.51(-02)	2.02(-02)	1.92(-02)	1.55(-02)	1.30(-02)	1.76(-02)
40         	2.49(-02)	2.00(-02)	1.91(-02)	1.55(-02)	1.31(-02)	1.78(-02)
41         	2.46(-02)	1.99(-02)	1.89(-02)	1.55(-02)	1.32(-02)	1.79(-02)
42         	2.44(-02)	1.97(-02)	1.88(-02)	1.54(-02)	1.32(-02)	1.80(-02)
43         	2.42(-02)	1.95(-02)	1.86(-02)	1.54(-02)	1.33(-02)	1.82(-02)
44         	2.39(-02)	1.93(-02)	1.85(-02)	1.54(-02)	1.33(-02)	1.83(-02)
45         	2.37(-02)	1.92(-02)	1.83(-02)	1.53(-02)	1.34(-02)	1.84(-02)
46         	2.35(-02)	1.90(-02)	1.82(-02)	1.52(-02)	1.34(-02)	1.85(-02)
47         	2.33(-02)	1.88(-02)	1.80(-02)	1.52(-02)	1.34(-02)	1.85(-02)
48         	2.30(-02)	1.87(-02)	1.79(-02)	1.51(-02)	1.35(-02)	1.86(-02)
49         	2.28(-02)	1.85(-02)	1.77(-02)	1.50(-02)	1.35(-02)	1.87(-02)
50         	2.26(-02)	1.83(-02)	1.76(-02)	1.50(-02)	1.35(-02)	1.87(-02)
60         	2.05(-02)	1.67(-02)	1.61(-02)	1.42(-02)	1.33(-02)	1.89(-02)
70         	1.88(-02)	1.54(-02)	1.48(-02)	1.34(-02)	1.30(-02)	1.87(-02)
85         	1.66(-02)	1.37(-02)	1.33(-02)	1.23(-02)	1.24(-02)	1.81(-02)
100         	1.49(-02)	1.23(-02)	1.20(-02)	1.14(-02)	1.17(-02)	1.73(-02)
150         	1.12(-02)	9.31(-03)	9.13(-03)	9.05(-03)	9.87(-03)	1.49(-02)
200         	9.06(-03)	7.55(-03)	7.44(-03)	7.56(-03)	8.50(-03)	1.30(-02)

