Table IIIa. Energies are in eV and Cross Sections are in Angstrom^2.

Energy         	v=0         	v=1         	v=2         	v=3         	v=4         	v=5         	v=6         	v=7         	v=8
12         	         	         	         	         	         	         	         	9.65(-03)	2.40(-02)
13         	         	         	         	         	6.85(-03)	1.56(-02)	2.39(-02)	3.05(-02)	4.41(-02)
14         	         	         	7.41(-03)	1.49(-02)	1.89(-02)	2.51(-02)	3.23(-02)	3.86(-02)	5.43(-02)
15         	1.09(-02)	1.15(-02)	1.19(-02)	1.75(-02)	2.14(-02)	2.81(-02)	3.67(-02)	4.51(-02)	6.44(-02)
16         	2.27(-02)	2.47(-02)	2.34(-02)	2.66(-02)	2.87(-02)	3.44(-02)	4.28(-02)	5.13(-02)	7.18(-02)
17         	2.24(-02)	2.58(-02)	2.61(-02)	3.03(-02)	3.34(-02)	4.01(-02)	4.98(-02)	5.95(-02)	8.19(-02)
18         	2.11(-02)	2.47(-02)	2.57(-02)	3.07(-02)	3.47(-02)	4.25(-02)	5.34(-02)	6.40(-02)	8.74(-02)
19         	2.05(-02)	2.41(-02)	2.55(-02)	3.10(-02)	3.56(-02)	4.42(-02)	5.59(-02)	6.70(-02)	9.10(-02)
20         	2.06(-02)	2.43(-02)	2.59(-02)	3.18(-02)	3.68(-02)	4.59(-02)	5.80(-02)	6.94(-02)	9.36(-02)
21         	2.11(-02)	2.50(-02)	2.67(-02)	3.29(-02)	3.82(-02)	4.76(-02)	6.00(-02)	7.15(-02)	9.56(-02)
22         	2.19(-02)	2.59(-02)	2.77(-02)	3.42(-02)	3.97(-02)	4.93(-02)	6.18(-02)	7.33(-02)	9.71(-02)
23         	2.28(-02)	2.70(-02)	2.88(-02)	3.55(-02)	4.10(-02)	5.08(-02)	6.34(-02)	7.47(-02)	9.82(-02)
24         	2.37(-02)	2.81(-02)	2.99(-02)	3.68(-02)	4.23(-02)	5.22(-02)	6.47(-02)	7.58(-02)	9.89(-02)
25         	2.46(-02)	2.91(-02)	3.09(-02)	3.80(-02)	4.35(-02)	5.34(-02)	6.58(-02)	7.67(-02)	9.92(-02)
26         	2.55(-02)	3.01(-02)	3.19(-02)	3.90(-02)	4.45(-02)	5.43(-02)	6.66(-02)	7.72(-02)	9.93(-02)
27         	2.63(-02)	3.10(-02)	3.27(-02)	3.99(-02)	4.54(-02)	5.51(-02)	6.72(-02)	7.76(-02)	9.92(-02)
28         	2.70(-02)	3.18(-02)	3.35(-02)	4.07(-02)	4.61(-02)	5.58(-02)	6.77(-02)	7.78(-02)	9.88(-02)
29         	2.76(-02)	3.25(-02)	3.42(-02)	4.14(-02)	4.67(-02)	5.63(-02)	6.80(-02)	7.79(-02)	9.83(-02)
30         	2.82(-02)	3.32(-02)	3.48(-02)	4.20(-02)	4.72(-02)	5.67(-02)	6.82(-02)	7.78(-02)	9.77(-02)
31         	2.87(-02)	3.37(-02)	3.53(-02)	4.24(-02)	4.76(-02)	5.69(-02)	6.82(-02)	7.76(-02)	9.70(-02)
32         	2.91(-02)	3.42(-02)	3.57(-02)	4.28(-02)	4.79(-02)	5.71(-02)	6.82(-02)	7.73(-02)	9.63(-02)
33         	2.95(-02)	3.46(-02)	3.61(-02)	4.32(-02)	4.82(-02)	5.72(-02)	6.81(-02)	7.69(-02)	9.54(-02)
34         	2.98(-02)	3.49(-02)	3.64(-02)	4.34(-02)	4.83(-02)	5.73(-02)	6.79(-02)	7.65(-02)	9.46(-02)
35         	3.01(-02)	3.52(-02)	3.66(-02)	4.36(-02)	4.84(-02)	5.72(-02)	6.76(-02)	7.60(-02)	9.37(-02)
36         	3.03(-02)	3.55(-02)	3.68(-02)	4.37(-02)	4.85(-02)	5.71(-02)	6.74(-02)	7.55(-02)	9.27(-02)
37         	3.05(-02)	3.56(-02)	3.70(-02)	4.38(-02)	4.85(-02)	5.70(-02)	6.70(-02)	7.50(-02)	9.18(-02)
38         	3.07(-02)	3.58(-02)	3.71(-02)	4.39(-02)	4.84(-02)	5.68(-02)	6.67(-02)	7.44(-02)	9.09(-02)
39         	3.08(-02)	3.59(-02)	3.71(-02)	4.39(-02)	4.84(-02)	5.66(-02)	6.63(-02)	7.38(-02)	8.99(-02)
40         	3.09(-02)	3.60(-02)	3.72(-02)	4.39(-02)	4.83(-02)	5.64(-02)	6.59(-02)	7.32(-02)	8.90(-02)
41         	3.10(-02)	3.60(-02)	3.72(-02)	4.38(-02)	4.81(-02)	5.61(-02)	6.54(-02)	7.26(-02)	8.80(-02)
42         	3.10(-02)	3.61(-02)	3.72(-02)	4.38(-02)	4.80(-02)	5.59(-02)	6.50(-02)	7.20(-02)	8.70(-02)
43         	3.10(-02)	3.61(-02)	3.72(-02)	4.37(-02)	4.78(-02)	5.56(-02)	6.45(-02)	7.14(-02)	8.61(-02)
44         	3.11(-02)	3.61(-02)	3.71(-02)	4.35(-02)	4.76(-02)	5.53(-02)	6.41(-02)	7.07(-02)	8.52(-02)
45         	3.10(-02)	3.60(-02)	3.70(-02)	4.34(-02)	4.74(-02)	5.49(-02)	6.36(-02)	7.01(-02)	8.43(-02)
46         	3.10(-02)	3.60(-02)	3.70(-02)	4.33(-02)	4.72(-02)	5.46(-02)	6.31(-02)	6.95(-02)	8.33(-02)
47         	3.10(-02)	3.59(-02)	3.69(-02)	4.31(-02)	4.70(-02)	5.43(-02)	6.26(-02)	6.89(-02)	8.25(-02)
48         	3.09(-02)	3.58(-02)	3.67(-02)	4.29(-02)	4.67(-02)	5.39(-02)	6.21(-02)	6.82(-02)	8.16(-02)
49         	3.09(-02)	3.57(-02)	3.66(-02)	4.28(-02)	4.65(-02)	5.36(-02)	6.16(-02)	6.76(-02)	8.07(-02)
50         	3.08(-02)	3.56(-02)	3.65(-02)	4.26(-02)	4.62(-02)	5.32(-02)	6.11(-02)	6.70(-02)	7.98(-02)
55         	3.03(-02)	3.50(-02)	3.58(-02)	4.15(-02)	4.49(-02)	5.14(-02)	5.87(-02)	6.40(-02)	7.58(-02)
60         	2.97(-02)	3.43(-02)	3.49(-02)	4.04(-02)	4.35(-02)	4.96(-02)	5.64(-02)	6.12(-02)	7.20(-02)
65         	2.91(-02)	3.34(-02)	3.40(-02)	3.92(-02)	4.21(-02)	4.79(-02)	5.42(-02)	5.86(-02)	6.86(-02)
70         	2.84(-02)	3.26(-02)	3.31(-02)	3.81(-02)	4.08(-02)	4.62(-02)	5.21(-02)	5.62(-02)	6.56(-02)
75         	2.77(-02)	3.18(-02)	3.22(-02)	3.70(-02)	3.95(-02)	4.46(-02)	5.02(-02)	5.40(-02)	6.27(-02)
100         	2.45(-02)	2.80(-02)	2.82(-02)	3.21(-02)	3.40(-02)	3.81(-02)	4.24(-02)	4.51(-02)	5.17(-02)
150         	1.97(-02)	2.24(-02)	2.24(-02)	2.54(-02)	2.66(-02)	2.95(-02)	3.25(-02)	3.42(-02)	3.86(-02)
200         	1.65(-02)	1.87(-02)	1.87(-02)	2.11(-02)	2.20(-02)	2.43(-02)	2.65(-02)	2.77(-02)	3.11(-02)




Energy         	v=9         	v=10         	v=11         	v=12         	v=13         	v=14
11         	         	9.73(-03)	9.02(-03)	1.85(-02)	1.36(-02)	9.62(-03)
12         	3.04(-02)	4.08(-02)	3.93(-02)	3.94(-02)	1.71(-02)	9.37(-03)
13         	5.26(-02)	6.66(-02)	6.47(-02)	5.58(-02)	1.96(-02)	8.98(-03)
14         	6.57(-02)	8.24(-02)	7.99(-02)	6.56(-02)	2.11(-02)	8.54(-03)
15         	7.91(-02)	9.81(-02)	9.56(-02)	7.63(-02)	2.34(-02)	8.50(-03)
16         	8.74(-02)	1.06(-01)	1.03(-01)	8.09(-02)	2.47(-02)	8.47(-03)
17         	9.76(-02)	1.17(-01)	1.12(-01)	8.72(-02)	2.64(-02)	8.73(-03)
18         	1.04(-01)	1.23(-01)	1.18(-01)	9.10(-02)	2.80(-02)	9.09(-03)
19         	1.08(-01)	1.27(-01)	1.20(-01)	9.32(-02)	2.91(-02)	9.46(-03)
20         	1.11(-01)	1.28(-01)	1.22(-01)	9.41(-02)	2.99(-02)	9.85(-03)
21         	1.12(-01)	1.29(-01)	1.22(-01)	9.44(-02)	3.06(-02)	1.02(-02)
22         	1.13(-01)	1.29(-01)	1.22(-01)	9.42(-02)	3.12(-02)	1.06(-02)
23         	1.13(-01)	1.29(-01)	1.21(-01)	9.38(-02)	3.16(-02)	1.10(-02)
24         	1.13(-01)	1.28(-01)	1.20(-01)	9.31(-02)	3.20(-02)	1.14(-02)
25         	1.13(-01)	1.27(-01)	1.18(-01)	9.22(-02)	3.23(-02)	1.17(-02)
26         	1.12(-01)	1.26(-01)	1.17(-01)	9.11(-02)	3.26(-02)	1.20(-02)
27         	1.12(-01)	1.24(-01)	1.15(-01)	9.00(-02)	3.27(-02)	1.23(-02)
28         	1.11(-01)	1.23(-01)	1.13(-01)	8.88(-02)	3.29(-02)	1.26(-02)
29         	1.10(-01)	1.21(-01)	1.12(-01)	8.76(-02)	3.29(-02)	1.29(-02)
30         	1.09(-01)	1.19(-01)	1.10(-01)	8.63(-02)	3.29(-02)	1.31(-02)
31         	1.07(-01)	1.18(-01)	1.08(-01)	8.50(-02)	3.29(-02)	1.33(-02)
32         	1.06(-01)	1.16(-01)	1.06(-01)	8.38(-02)	3.29(-02)	1.35(-02)
33         	1.05(-01)	1.14(-01)	1.05(-01)	8.25(-02)	3.28(-02)	1.37(-02)
34         	1.04(-01)	1.12(-01)	1.03(-01)	8.13(-02)	3.27(-02)	1.38(-02)
35         	1.02(-01)	1.11(-01)	1.01(-01)	8.00(-02)	3.25(-02)	1.39(-02)
36         	1.01(-01)	1.09(-01)	9.94(-02)	7.88(-02)	3.24(-02)	1.41(-02)
37         	9.98(-02)	1.08(-01)	9.78(-02)	7.77(-02)	3.22(-02)	1.42(-02)
38         	9.85(-02)	1.06(-01)	9.63(-02)	7.65(-02)	3.20(-02)	1.43(-02)
39         	9.72(-02)	1.04(-01)	9.47(-02)	7.54(-02)	3.19(-02)	1.43(-02)
40         	9.60(-02)	1.03(-01)	9.32(-02)	7.42(-02)	3.17(-02)	1.44(-02)
41         	9.48(-02)	1.01(-01)	9.18(-02)	7.32(-02)	3.15(-02)	1.45(-02)
42         	9.36(-02)	9.99(-02)	9.04(-02)	7.21(-02)	3.13(-02)	1.45(-02)
43         	9.24(-02)	9.85(-02)	8.90(-02)	7.11(-02)	3.11(-02)	1.46(-02)
44         	9.12(-02)	9.71(-02)	8.77(-02)	7.01(-02)	3.08(-02)	1.46(-02)
45         	9.01(-02)	9.58(-02)	8.64(-02)	6.91(-02)	3.06(-02)	1.47(-02)
46         	8.90(-02)	9.45(-02)	8.52(-02)	6.81(-02)	3.04(-02)	1.47(-02)
47         	8.79(-02)	9.32(-02)	8.39(-02)	6.72(-02)	3.02(-02)	1.47(-02)
48         	8.68(-02)	9.19(-02)	8.28(-02)	6.63(-02)	3.00(-02)	1.47(-02)
49         	8.57(-02)	9.07(-02)	8.16(-02)	6.54(-02)	2.97(-02)	1.47(-02)
50         	8.47(-02)	8.95(-02)	8.05(-02)	6.46(-02)	2.95(-02)	1.47(-02)
55         	7.99(-02)	8.40(-02)	7.53(-02)	6.06(-02)	2.84(-02)	1.47(-02)
60         	7.56(-02)	7.91(-02)	7.07(-02)	5.71(-02)	2.73(-02)	1.45(-02)
65         	7.17(-02)	7.48(-02)	6.67(-02)	5.40(-02)	2.63(-02)	1.44(-02)
70         	6.82(-02)	7.10(-02)	6.32(-02)	5.12(-02)	2.54(-02)	1.42(-02)
75         	6.51(-02)	6.75(-02)	6.00(-02)	4.87(-02)	2.45(-02)	1.39(-02)
100         	5.30(-02)	5.45(-02)	4.81(-02)	3.93(-02)	2.09(-02)	1.28(-02)
150         	3.91(-02)	3.97(-02)	3.48(-02)	2.86(-02)	1.61(-02)	1.07(-02)
200         	3.12(-02)	3.15(-02)	2.75(-02)	2.27(-02)	1.33(-02)	9.26(-03)

