Table XIa. Energies are in eV and Cross Sections are in Angstrom^2.

Energy         	v=0         	v=1         	v=2         	v=3         	v=4         	v=5         	v=6         	v=7         	v=8
11         	         	         	         	         	         	         	         	2.71(-03)	6.05(-03)
12         	         	         	         	         	1.47(-02)	3.25(-02)	4.48(-02)	4.99(-02)	5.28(-02)
13         	         	         	3.58(-02)	4.68(-02)	5.53(-02)	6.13(-02)	6.58(-02)	6.98(-02)	7.48(-02)
14         	1.14(-02)	4.15(-02)	5.25(-02)	5.85(-02)	6.39(-02)	6.97(-02)	7.54(-02)	8.10(-02)	8.82(-02)
15         	4.82(-02)	4.90(-02)	5.36(-02)	5.94(-02)	6.66(-02)	7.48(-02)	8.31(-02)	9.12(-02)	1.01(-01)
16         	5.66(-02)	6.00(-02)	6.43(-02)	6.94(-02)	7.62(-02)	8.43(-02)	9.27(-02)	1.01(-01)	1.10(-01)
17         	5.42(-02)	6.10(-02)	6.82(-02)	7.55(-02)	8.39(-02)	9.33(-02)	1.03(-01)	1.11(-01)	1.22(-01)
18         	5.24(-02)	6.11(-02)	6.99(-02)	7.86(-02)	8.82(-02)	9.86(-02)	1.09(-01)	1.17(-01)	1.28(-01)
19         	5.24(-02)	6.23(-02)	7.20(-02)	8.15(-02)	9.18(-02)	1.03(-01)	1.13(-01)	1.22(-01)	1.32(-01)
20         	5.37(-02)	6.44(-02)	7.47(-02)	8.46(-02)	9.52(-02)	1.06(-01)	1.16(-01)	1.25(-01)	1.35(-01)
21         	5.57(-02)	6.70(-02)	7.77(-02)	8.77(-02)	9.84(-02)	1.09(-01)	1.19(-01)	1.27(-01)	1.37(-01)
22         	5.80(-02)	6.98(-02)	8.06(-02)	9.07(-02)	1.01(-01)	1.12(-01)	1.22(-01)	1.29(-01)	1.38(-01)
23         	6.05(-02)	7.24(-02)	8.34(-02)	9.34(-02)	1.04(-01)	1.14(-01)	1.24(-01)	1.31(-01)	1.39(-01)
24         	6.29(-02)	7.49(-02)	8.58(-02)	9.58(-02)	1.06(-01)	1.16(-01)	1.25(-01)	1.32(-01)	1.39(-01)
25         	6.51(-02)	7.72(-02)	8.80(-02)	9.78(-02)	1.08(-01)	1.18(-01)	1.26(-01)	1.32(-01)	1.39(-01)
26         	6.71(-02)	7.91(-02)	8.99(-02)	9.95(-02)	1.09(-01)	1.19(-01)	1.27(-01)	1.33(-01)	1.39(-01)
27         	6.89(-02)	8.09(-02)	9.16(-02)	1.01(-01)	1.10(-01)	1.20(-01)	1.27(-01)	1.32(-01)	1.38(-01)
28         	7.05(-02)	8.24(-02)	9.29(-02)	1.02(-01)	1.11(-01)	1.20(-01)	1.27(-01)	1.32(-01)	1.37(-01)
29         	7.20(-02)	8.37(-02)	9.40(-02)	1.03(-01)	1.12(-01)	1.20(-01)	1.27(-01)	1.32(-01)	1.36(-01)
30         	7.32(-02)	8.48(-02)	9.49(-02)	1.04(-01)	1.12(-01)	1.21(-01)	1.27(-01)	1.31(-01)	1.35(-01)
31         	7.42(-02)	8.57(-02)	9.57(-02)	1.04(-01)	1.13(-01)	1.20(-01)	1.26(-01)	1.30(-01)	1.34(-01)
32         	7.51(-02)	8.64(-02)	9.62(-02)	1.05(-01)	1.13(-01)	1.20(-01)	1.26(-01)	1.29(-01)	1.33(-01)
33         	7.59(-02)	8.70(-02)	9.66(-02)	1.05(-01)	1.13(-01)	1.20(-01)	1.25(-01)	1.28(-01)	1.31(-01)
34         	7.65(-02)	8.75(-02)	9.69(-02)	1.05(-01)	1.12(-01)	1.19(-01)	1.25(-01)	1.27(-01)	1.30(-01)
35         	7.71(-02)	8.78(-02)	9.71(-02)	1.05(-01)	1.12(-01)	1.19(-01)	1.24(-01)	1.26(-01)	1.29(-01)
36         	7.75(-02)	8.81(-02)	9.72(-02)	1.05(-01)	1.12(-01)	1.18(-01)	1.23(-01)	1.25(-01)	1.27(-01)
37         	7.78(-02)	8.82(-02)	9.72(-02)	1.05(-01)	1.12(-01)	1.18(-01)	1.22(-01)	1.24(-01)	1.26(-01)
38         	7.81(-02)	8.83(-02)	9.71(-02)	1.04(-01)	1.11(-01)	1.17(-01)	1.21(-01)	1.23(-01)	1.24(-01)
39         	7.82(-02)	8.83(-02)	9.69(-02)	1.04(-01)	1.11(-01)	1.16(-01)	1.20(-01)	1.22(-01)	1.23(-01)
40         	7.84(-02)	8.82(-02)	9.67(-02)	1.04(-01)	1.10(-01)	1.16(-01)	1.19(-01)	1.20(-01)	1.22(-01)
41         	7.84(-02)	8.81(-02)	9.65(-02)	1.03(-01)	1.09(-01)	1.15(-01)	1.18(-01)	1.19(-01)	1.20(-01)
42         	7.84(-02)	8.80(-02)	9.62(-02)	1.03(-01)	1.09(-01)	1.14(-01)	1.17(-01)	1.18(-01)	1.19(-01)
43         	7.84(-02)	8.78(-02)	9.58(-02)	1.02(-01)	1.08(-01)	1.13(-01)	1.16(-01)	1.17(-01)	1.17(-01)
44         	7.83(-02)	8.75(-02)	9.54(-02)	1.02(-01)	1.07(-01)	1.12(-01)	1.15(-01)	1.16(-01)	1.16(-01)
45         	7.81(-02)	8.73(-02)	9.50(-02)	1.01(-01)	1.07(-01)	1.11(-01)	1.14(-01)	1.15(-01)	1.15(-01)
46         	7.80(-02)	8.69(-02)	9.46(-02)	1.01(-01)	1.06(-01)	1.11(-01)	1.13(-01)	1.13(-01)	1.13(-01)
47         	7.78(-02)	8.66(-02)	9.41(-02)	9.99(-02)	1.05(-01)	1.10(-01)	1.12(-01)	1.12(-01)	1.12(-01)
48         	7.76(-02)	8.63(-02)	9.37(-02)	9.93(-02)	1.04(-01)	1.09(-01)	1.11(-01)	1.11(-01)	1.11(-01)
49         	7.74(-02)	8.59(-02)	9.32(-02)	9.87(-02)	1.04(-01)	1.08(-01)	1.10(-01)	1.10(-01)	1.10(-01)
50         	7.71(-02)	8.55(-02)	9.27(-02)	9.81(-02)	1.03(-01)	1.07(-01)	1.09(-01)	1.09(-01)	1.08(-01)
60         	7.39(-02)	8.12(-02)	8.74(-02)	9.18(-02)	9.57(-02)	9.87(-02)	9.97(-02)	9.89(-02)	9.74(-02)
70         	7.02(-02)	7.66(-02)	8.20(-02)	8.58(-02)	8.89(-02)	9.12(-02)	9.16(-02)	9.04(-02)	8.84(-02)
85         	6.49(-02)	7.03(-02)	7.48(-02)	7.78(-02)	8.02(-02)	8.18(-02)	8.16(-02)	8.01(-02)	7.77(-02)
100         	6.00(-02)	6.47(-02)	6.86(-02)	7.11(-02)	7.30(-02)	7.42(-02)	7.37(-02)	7.20(-02)	6.95(-02)
150         	4.80(-02)	5.13(-02)	5.40(-02)	5.55(-02)	5.65(-02)	5.69(-02)	5.60(-02)	5.42(-02)	5.17(-02)
200         	4.02(-02)	4.26(-02)	4.47(-02)	4.58(-02)	4.64(-02)	4.65(-02)	4.55(-02)	4.38(-02)	4.15(-02)




Energy         	v=9         	v=10         	v=11         	v=12         	v=13         	v=14
10         	         	1.43(-07)	3.36(-07)	5.95(-06)	1.71(-06)	3.63(-07)
11         	2.29(-02)	2.00(-02)	2.03(-02)	3.49(-02)	4.33(-02)	4.02(-02)
12         	5.35(-02)	5.23(-02)	5.28(-02)	5.84(-02)	4.42(-02)	3.62(-02)
13         	7.89(-02)	7.97(-02)	7.99(-02)	7.72(-02)	4.71(-02)	3.31(-02)
14         	9.48(-02)	9.65(-02)	9.61(-02)	8.85(-02)	5.05(-02)	3.11(-02)
15         	1.10(-01)	1.13(-01)	1.12(-01)	9.98(-02)	5.49(-02)	3.05(-02)
16         	1.19(-01)	1.21(-01)	1.19(-01)	1.05(-01)	5.81(-02)	3.08(-02)
17         	1.30(-01)	1.32(-01)	1.28(-01)	1.11(-01)	6.16(-02)	3.19(-02)
18         	1.37(-01)	1.38(-01)	1.34(-01)	1.15(-01)	6.45(-02)	3.33(-02)
19         	1.41(-01)	1.41(-01)	1.37(-01)	1.16(-01)	6.66(-02)	3.49(-02)
20         	1.43(-01)	1.43(-01)	1.38(-01)	1.17(-01)	6.83(-02)	3.66(-02)
21         	1.44(-01)	1.44(-01)	1.38(-01)	1.17(-01)	6.95(-02)	3.82(-02)
22         	1.45(-01)	1.43(-01)	1.37(-01)	1.16(-01)	7.05(-02)	3.97(-02)
23         	1.45(-01)	1.43(-01)	1.36(-01)	1.16(-01)	7.13(-02)	4.12(-02)
24         	1.44(-01)	1.42(-01)	1.34(-01)	1.14(-01)	7.18(-02)	4.26(-02)
25         	1.44(-01)	1.40(-01)	1.32(-01)	1.13(-01)	7.21(-02)	4.39(-02)
26         	1.42(-01)	1.39(-01)	1.31(-01)	1.12(-01)	7.24(-02)	4.51(-02)
27         	1.41(-01)	1.37(-01)	1.28(-01)	1.10(-01)	7.24(-02)	4.62(-02)
28         	1.40(-01)	1.35(-01)	1.26(-01)	1.08(-01)	7.24(-02)	4.71(-02)
29         	1.38(-01)	1.33(-01)	1.24(-01)	1.07(-01)	7.22(-02)	4.80(-02)
30         	1.37(-01)	1.31(-01)	1.22(-01)	1.05(-01)	7.20(-02)	4.88(-02)
31         	1.35(-01)	1.29(-01)	1.20(-01)	1.04(-01)	7.18(-02)	4.95(-02)
32         	1.33(-01)	1.27(-01)	1.18(-01)	1.02(-01)	7.14(-02)	5.01(-02)
33         	1.32(-01)	1.25(-01)	1.16(-01)	1.00(-01)	7.10(-02)	5.06(-02)
34         	1.30(-01)	1.24(-01)	1.14(-01)	9.88(-02)	7.06(-02)	5.11(-02)
35         	1.28(-01)	1.22(-01)	1.12(-01)	9.73(-02)	7.02(-02)	5.15(-02)
36         	1.26(-01)	1.20(-01)	1.11(-01)	9.57(-02)	6.97(-02)	5.19(-02)
37         	1.25(-01)	1.18(-01)	1.09(-01)	9.43(-02)	6.92(-02)	5.22(-02)
38         	1.23(-01)	1.16(-01)	1.07(-01)	9.28(-02)	6.87(-02)	5.25(-02)
39         	1.21(-01)	1.15(-01)	1.05(-01)	9.14(-02)	6.82(-02)	5.27(-02)
40         	1.20(-01)	1.13(-01)	1.04(-01)	9.00(-02)	6.76(-02)	5.29(-02)
41         	1.18(-01)	1.11(-01)	1.02(-01)	8.87(-02)	6.71(-02)	5.31(-02)
42         	1.16(-01)	1.10(-01)	1.00(-01)	8.74(-02)	6.66(-02)	5.32(-02)
43         	1.15(-01)	1.08(-01)	9.89(-02)	8.61(-02)	6.60(-02)	5.33(-02)
44         	1.13(-01)	1.06(-01)	9.74(-02)	8.48(-02)	6.55(-02)	5.34(-02)
45         	1.12(-01)	1.05(-01)	9.60(-02)	8.37(-02)	6.49(-02)	5.34(-02)
46         	1.11(-01)	1.04(-01)	9.45(-02)	8.25(-02)	6.44(-02)	5.34(-02)
47         	1.09(-01)	1.02(-01)	9.32(-02)	8.13(-02)	6.38(-02)	5.34(-02)
48         	1.08(-01)	1.01(-01)	9.18(-02)	8.02(-02)	6.33(-02)	5.34(-02)
49         	1.06(-01)	9.94(-02)	9.06(-02)	7.91(-02)	6.27(-02)	5.34(-02)
50         	1.05(-01)	9.80(-02)	8.93(-02)	7.81(-02)	6.22(-02)	5.33(-02)
60         	9.36(-02)	8.66(-02)	7.84(-02)	6.89(-02)	5.72(-02)	5.22(-02)
70         	8.44(-02)	7.76(-02)	7.00(-02)	6.17(-02)	5.28(-02)	5.06(-02)
85         	7.36(-02)	6.73(-02)	6.04(-02)	5.34(-02)	4.73(-02)	4.78(-02)
100         	6.54(-02)	5.95(-02)	5.32(-02)	4.72(-02)	4.29(-02)	4.50(-02)
150         	4.81(-02)	4.33(-02)	3.85(-02)	3.44(-02)	3.29(-02)	3.75(-02)
200         	3.84(-02)	3.44(-02)	3.04(-02)	2.73(-02)	2.69(-02)	3.22(-02)

