Table Ia. Energies are in eV and Cross Sections are in Angstrom^2.

Energy         	v=0         	v=1         	v=2         	v=3         	v=4         	v=5         	v=6         	v=7         	v=8
12         	         	         	         	         	         	         	         	1.94(-02)	2.43(-02)
13         	         	         	         	         	3.29(-03)	2.33(-03)	1.37(-02)	3.17(-02)	3.55(-02)
14         	         	         	1.40(-02)	3.47(-02)	3.64(-02)	2.75(-02)	3.14(-02)	4.29(-02)	4.27(-02)
15         	8.52(-04)	9.00(-03)	2.97(-02)	4.98(-02)	5.12(-02)	4.22(-02)	4.45(-02)	5.37(-02)	5.20(-02)
16         	1.40(-03)	9.75(-03)	2.95(-02)	4.87(-02)	5.07(-02)	4.29(-02)	4.57(-02)	5.53(-02)	5.38(-02)
17         	1.33(-03)	9.10(-03)	2.76(-02)	4.59(-02)	4.80(-02)	4.07(-02)	4.41(-02)	5.44(-02)	5.34(-02)
18         	1.24(-03)	8.55(-03)	2.63(-02)	4.42(-02)	4.64(-02)	3.91(-02)	4.31(-02)	5.42(-02)	5.34(-02)
19         	1.18(-03)	8.27(-03)	2.58(-02)	4.39(-02)	4.61(-02)	3.87(-02)	4.30(-02)	5.49(-02)	5.43(-02)
20         	1.16(-03)	8.24(-03)	2.61(-02)	4.45(-02)	4.68(-02)	3.91(-02)	4.37(-02)	5.62(-02)	5.57(-02)
21         	1.17(-03)	8.38(-03)	2.67(-02)	4.59(-02)	4.82(-02)	4.01(-02)	4.49(-02)	5.81(-02)	5.76(-02)
22         	1.19(-03)	8.64(-03)	2.77(-02)	4.76(-02)	5.00(-02)	4.15(-02)	4.65(-02)	6.02(-02)	5.96(-02)
23         	1.23(-03)	8.95(-03)	2.88(-02)	4.95(-02)	5.20(-02)	4.31(-02)	4.82(-02)	6.23(-02)	6.17(-02)
24         	1.28(-03)	9.30(-03)	2.99(-02)	5.14(-02)	5.40(-02)	4.47(-02)	5.00(-02)	6.44(-02)	6.38(-02)
25         	1.32(-03)	9.65(-03)	3.10(-02)	5.34(-02)	5.60(-02)	4.64(-02)	5.17(-02)	6.65(-02)	6.57(-02)
26         	1.37(-03)	1.00(-02)	3.21(-02)	5.51(-02)	5.78(-02)	4.80(-02)	5.33(-02)	6.84(-02)	6.76(-02)
27         	1.42(-03)	1.03(-02)	3.31(-02)	5.68(-02)	5.96(-02)	4.94(-02)	5.49(-02)	7.01(-02)	6.93(-02)
28         	1.47(-03)	1.07(-02)	3.41(-02)	5.84(-02)	6.12(-02)	5.08(-02)	5.63(-02)	7.17(-02)	7.08(-02)
29         	1.51(-03)	1.09(-02)	3.49(-02)	5.98(-02)	6.27(-02)	5.21(-02)	5.76(-02)	7.32(-02)	7.22(-02)
30         	1.55(-03)	1.12(-02)	3.57(-02)	6.11(-02)	6.40(-02)	5.32(-02)	5.87(-02)	7.45(-02)	7.34(-02)
31         	1.58(-03)	1.14(-02)	3.64(-02)	6.22(-02)	6.52(-02)	5.43(-02)	5.98(-02)	7.56(-02)	7.45(-02)
32         	1.62(-03)	1.17(-02)	3.71(-02)	6.33(-02)	6.63(-02)	5.52(-02)	6.07(-02)	7.66(-02)	7.55(-02)
33         	1.65(-03)	1.19(-02)	3.77(-02)	6.42(-02)	6.72(-02)	5.61(-02)	6.16(-02)	7.75(-02)	7.63(-02)
34         	1.67(-03)	1.20(-02)	3.82(-02)	6.50(-02)	6.81(-02)	5.68(-02)	6.23(-02)	7.83(-02)	7.70(-02)
35         	1.70(-03)	1.22(-02)	3.86(-02)	6.57(-02)	6.88(-02)	5.74(-02)	6.30(-02)	7.90(-02)	7.77(-02)
36         	1.72(-03)	1.23(-02)	3.90(-02)	6.63(-02)	6.95(-02)	5.80(-02)	6.35(-02)	7.95(-02)	7.82(-02)
37         	1.74(-03)	1.25(-02)	3.93(-02)	6.68(-02)	7.00(-02)	5.85(-02)	6.40(-02)	8.00(-02)	7.87(-02)
38         	1.76(-03)	1.26(-02)	3.96(-02)	6.73(-02)	7.05(-02)	5.90(-02)	6.44(-02)	8.04(-02)	7.91(-02)
39         	1.77(-03)	1.27(-02)	3.99(-02)	6.77(-02)	7.09(-02)	5.93(-02)	6.48(-02)	8.08(-02)	7.94(-02)
40         	1.78(-03)	1.27(-02)	4.01(-02)	6.80(-02)	7.12(-02)	5.97(-02)	6.51(-02)	8.10(-02)	7.96(-02)
41         	1.79(-03)	1.28(-02)	4.03(-02)	6.83(-02)	7.15(-02)	5.99(-02)	6.53(-02)	8.12(-02)	7.98(-02)
42         	1.80(-03)	1.29(-02)	4.04(-02)	6.85(-02)	7.18(-02)	6.01(-02)	6.55(-02)	8.14(-02)	7.99(-02)
43         	1.81(-03)	1.29(-02)	4.05(-02)	6.86(-02)	7.19(-02)	6.03(-02)	6.57(-02)	8.15(-02)	8.00(-02)
44         	1.82(-03)	1.29(-02)	4.06(-02)	6.88(-02)	7.21(-02)	6.05(-02)	6.58(-02)	8.15(-02)	8.01(-02)
45         	1.82(-03)	1.30(-02)	4.07(-02)	6.88(-02)	7.22(-02)	6.06(-02)	6.59(-02)	8.16(-02)	8.01(-02)
46         	1.83(-03)	1.30(-02)	4.07(-02)	6.89(-02)	7.22(-02)	6.07(-02)	6.59(-02)	8.15(-02)	8.00(-02)
47         	1.83(-03)	1.30(-02)	4.08(-02)	6.89(-02)	7.22(-02)	6.07(-02)	6.59(-02)	8.15(-02)	8.00(-02)
48         	1.84(-03)	1.30(-02)	4.08(-02)	6.89(-02)	7.22(-02)	6.07(-02)	6.59(-02)	8.14(-02)	7.99(-02)
49         	1.84(-03)	1.30(-02)	4.08(-02)	6.89(-02)	7.22(-02)	6.07(-02)	6.59(-02)	8.13(-02)	7.98(-02)
50         	1.84(-03)	1.30(-02)	4.07(-02)	6.88(-02)	7.21(-02)	6.07(-02)	6.58(-02)	8.12(-02)	7.96(-02)
55         	1.83(-03)	1.30(-02)	4.05(-02)	6.82(-02)	7.15(-02)	6.02(-02)	6.52(-02)	8.02(-02)	7.87(-02)
60         	1.82(-03)	1.28(-02)	3.99(-02)	6.72(-02)	7.05(-02)	5.95(-02)	6.43(-02)	7.89(-02)	7.74(-02)
65         	1.79(-03)	1.26(-02)	3.93(-02)	6.61(-02)	6.93(-02)	5.86(-02)	6.32(-02)	7.74(-02)	7.59(-02)
70         	1.76(-03)	1.24(-02)	3.86(-02)	6.48(-02)	6.80(-02)	5.75(-02)	6.21(-02)	7.58(-02)	7.43(-02)
75         	1.73(-03)	1.22(-02)	3.78(-02)	6.35(-02)	6.66(-02)	5.64(-02)	6.08(-02)	7.42(-02)	7.27(-02)
100         	1.57(-03)	1.10(-02)	3.40(-02)	5.70(-02)	5.99(-02)	5.08(-02)	5.46(-02)	6.63(-02)	6.50(-02)
150         	1.30(-03)	9.07(-03)	2.79(-02)	4.68(-02)	4.91(-02)	4.18(-02)	4.49(-02)	5.42(-02)	5.31(-02)
200         	1.11(-03)	7.72(-03)	2.37(-02)	3.97(-02)	4.17(-02)	3.55(-02)	3.81(-02)	4.59(-02)	4.50(-02)




Energy         	v=9         	v=10         	v=11         	v=12         	v=13         	v=14
11         	         	6.13(-03)	1.64(-02)	1.92(-02)	1.41(-02)	7.30(-03)
12         	1.99(-02)	2.18(-02)	2.69(-02)	2.57(-02)	1.79(-02)	9.13(-03)
13         	3.05(-02)	3.07(-02)	3.34(-02)	3.02(-02)	2.07(-02)	1.05(-02)
14         	3.54(-02)	3.37(-02)	3.49(-02)	3.07(-02)	2.08(-02)	1.04(-02)
15         	4.34(-02)	4.02(-02)	3.99(-02)	3.44(-02)	2.30(-02)	1.14(-02)
16         	4.52(-02)	4.20(-02)	4.18(-02)	3.59(-02)	2.39(-02)	1.19(-02)
17         	4.49(-02)	4.20(-02)	4.23(-02)	3.65(-02)	2.43(-02)	1.20(-02)
18         	4.49(-02)	4.22(-02)	4.29(-02)	3.72(-02)	2.47(-02)	1.22(-02)
19         	4.55(-02)	4.30(-02)	4.39(-02)	3.82(-02)	2.54(-02)	1.25(-02)
20         	4.66(-02)	4.41(-02)	4.51(-02)	3.93(-02)	2.61(-02)	1.28(-02)
21         	4.81(-02)	4.55(-02)	4.66(-02)	4.07(-02)	2.70(-02)	1.33(-02)
22         	4.98(-02)	4.70(-02)	4.82(-02)	4.20(-02)	2.79(-02)	1.37(-02)
23         	5.15(-02)	4.86(-02)	4.97(-02)	4.33(-02)	2.88(-02)	1.41(-02)
24         	5.32(-02)	5.02(-02)	5.12(-02)	4.46(-02)	2.96(-02)	1.46(-02)
25         	5.49(-02)	5.17(-02)	5.27(-02)	4.58(-02)	3.05(-02)	1.50(-02)
26         	5.64(-02)	5.31(-02)	5.40(-02)	4.69(-02)	3.12(-02)	1.54(-02)
27         	5.78(-02)	5.44(-02)	5.52(-02)	4.80(-02)	3.19(-02)	1.57(-02)
28         	5.92(-02)	5.55(-02)	5.63(-02)	4.89(-02)	3.26(-02)	1.61(-02)
29         	6.03(-02)	5.66(-02)	5.73(-02)	4.97(-02)	3.31(-02)	1.64(-02)
30         	6.14(-02)	5.76(-02)	5.82(-02)	5.04(-02)	3.37(-02)	1.67(-02)
31         	6.24(-02)	5.84(-02)	5.89(-02)	5.11(-02)	3.41(-02)	1.69(-02)
32         	6.32(-02)	5.92(-02)	5.96(-02)	5.17(-02)	3.45(-02)	1.71(-02)
33         	6.40(-02)	5.99(-02)	6.02(-02)	5.22(-02)	3.49(-02)	1.73(-02)
34         	6.46(-02)	6.04(-02)	6.07(-02)	5.26(-02)	3.52(-02)	1.75(-02)
35         	6.52(-02)	6.09(-02)	6.12(-02)	5.30(-02)	3.55(-02)	1.77(-02)
36         	6.57(-02)	6.14(-02)	6.16(-02)	5.33(-02)	3.57(-02)	1.78(-02)
37         	6.61(-02)	6.17(-02)	6.19(-02)	5.36(-02)	3.59(-02)	1.79(-02)
38         	6.64(-02)	6.20(-02)	6.21(-02)	5.38(-02)	3.61(-02)	1.80(-02)
39         	6.67(-02)	6.23(-02)	6.23(-02)	5.39(-02)	3.62(-02)	1.81(-02)
40         	6.70(-02)	6.25(-02)	6.25(-02)	5.41(-02)	3.63(-02)	1.82(-02)
41         	6.71(-02)	6.27(-02)	6.26(-02)	5.42(-02)	3.64(-02)	1.83(-02)
42         	6.73(-02)	6.28(-02)	6.27(-02)	5.43(-02)	3.65(-02)	1.83(-02)
43         	6.74(-02)	6.29(-02)	6.28(-02)	5.43(-02)	3.65(-02)	1.84(-02)
44         	6.74(-02)	6.29(-02)	6.28(-02)	5.43(-02)	3.66(-02)	1.84(-02)
45         	6.75(-02)	6.29(-02)	6.28(-02)	5.43(-02)	3.66(-02)	1.84(-02)
46         	6.75(-02)	6.29(-02)	6.27(-02)	5.43(-02)	3.66(-02)	1.84(-02)
47         	6.74(-02)	6.29(-02)	6.27(-02)	5.42(-02)	3.65(-02)	1.84(-02)
48         	6.74(-02)	6.28(-02)	6.26(-02)	5.41(-02)	3.65(-02)	1.84(-02)
49         	6.73(-02)	6.28(-02)	6.25(-02)	5.40(-02)	3.65(-02)	1.84(-02)
50         	6.72(-02)	6.27(-02)	6.24(-02)	5.39(-02)	3.64(-02)	1.84(-02)
55         	6.65(-02)	6.20(-02)	6.16(-02)	5.32(-02)	3.60(-02)	1.83(-02)
60         	6.55(-02)	6.10(-02)	6.05(-02)	5.24(-02)	3.55(-02)	1.80(-02)
65         	6.43(-02)	5.99(-02)	5.94(-02)	5.14(-02)	3.49(-02)	1.78(-02)
70         	6.30(-02)	5.87(-02)	5.82(-02)	5.03(-02)	3.42(-02)	1.75(-02)
75         	6.17(-02)	5.75(-02)	5.69(-02)	4.93(-02)	3.35(-02)	1.72(-02)
100         	5.53(-02)	5.15(-02)	5.09(-02)	4.41(-02)	3.02(-02)	1.55(-02)
150         	4.53(-02)	4.22(-02)	4.17(-02)	3.61(-02)	2.48(-02)	1.29(-02)
200         	3.85(-02)	3.59(-02)	3.54(-02)	3.07(-02)	2.12(-02)	1.10(-02)

