Table IXa. Energies are in eV and Cross Sections are in Angstrom^2.

Energy         	v=0         	v=1         	v=2         	v=3         	v=4         	v=5         	v=6         	v=7         	v=8
8         	         	         	         	         	         	         	         	         	3.12(-02)
9         	         	         	         	         	         	3.53(-01)	5.80(-01)	7.23(-01)	8.33(-01)
10         	         	         	         	3.57(-01)	5.27(-01)	6.56(-01)	7.61(-01)	8.52(-01)	9.28(-01)
11         	         	1.69(-01)	3.45(-01)	4.79(-01)	5.87(-01)	6.88(-01)	7.87(-01)	8.83(-01)	9.70(-01)
12         	1.35(-01)	3.28(-01)	4.37(-01)	5.24(-01)	6.16(-01)	7.15(-01)	8.16(-01)	9.27(-01)	1.03(+00)
13         	3.38(-01)	3.70(-01)	4.31(-01)	5.24(-01)	6.23(-01)	7.39(-01)	8.61(-01)	9.87(-01)	1.10(+00)
14         	3.59(-01)	4.09(-01)	4.77(-01)	5.68(-01)	6.77(-01)	7.99(-01)	9.27(-01)	1.06(+00)	1.17(+00)
15         	3.41(-01)	4.10(-01)	4.98(-01)	6.04(-01)	7.25(-01)	8.57(-01)	9.91(-01)	1.13(+00)	1.25(+00)
16         	3.32(-01)	4.14(-01)	5.14(-01)	6.31(-01)	7.62(-01)	9.01(-01)	1.04(+00)	1.18(+00)	1.30(+00)
17         	3.35(-01)	4.26(-01)	5.35(-01)	6.59(-01)	7.95(-01)	9.39(-01)	1.08(+00)	1.22(+00)	1.35(+00)
18         	3.46(-01)	4.44(-01)	5.57(-01)	6.86(-01)	8.26(-01)	9.73(-01)	1.12(+00)	1.26(+00)	1.38(+00)
19         	3.61(-01)	4.63(-01)	5.80(-01)	7.12(-01)	8.54(-01)	1.00(+00)	1.15(+00)	1.29(+00)	1.41(+00)
20         	3.78(-01)	4.83(-01)	6.02(-01)	7.35(-01)	8.79(-01)	1.03(+00)	1.17(+00)	1.31(+00)	1.43(+00)
21         	3.95(-01)	5.01(-01)	6.22(-01)	7.56(-01)	9.00(-01)	1.05(+00)	1.19(+00)	1.33(+00)	1.45(+00)
22         	4.11(-01)	5.18(-01)	6.40(-01)	7.75(-01)	9.18(-01)	1.07(+00)	1.21(+00)	1.35(+00)	1.47(+00)
23         	4.25(-01)	5.34(-01)	6.56(-01)	7.90(-01)	9.33(-01)	1.08(+00)	1.22(+00)	1.36(+00)	1.48(+00)
24         	4.39(-01)	5.47(-01)	6.69(-01)	8.03(-01)	9.45(-01)	1.09(+00)	1.23(+00)	1.37(+00)	1.48(+00)
25         	4.50(-01)	5.59(-01)	6.81(-01)	8.14(-01)	9.54(-01)	1.10(+00)	1.24(+00)	1.37(+00)	1.48(+00)
26         	4.61(-01)	5.69(-01)	6.90(-01)	8.22(-01)	9.62(-01)	1.10(+00)	1.24(+00)	1.37(+00)	1.48(+00)
27         	4.69(-01)	5.78(-01)	6.98(-01)	8.29(-01)	9.67(-01)	1.11(+00)	1.24(+00)	1.37(+00)	1.48(+00)
28         	4.77(-01)	5.85(-01)	7.04(-01)	8.34(-01)	9.71(-01)	1.11(+00)	1.24(+00)	1.37(+00)	1.48(+00)
29         	4.83(-01)	5.91(-01)	7.09(-01)	8.38(-01)	9.73(-01)	1.11(+00)	1.24(+00)	1.37(+00)	1.48(+00)
30         	4.89(-01)	5.95(-01)	7.13(-01)	8.40(-01)	9.74(-01)	1.11(+00)	1.24(+00)	1.36(+00)	1.47(+00)
31         	4.93(-01)	5.99(-01)	7.16(-01)	8.42(-01)	9.74(-01)	1.11(+00)	1.23(+00)	1.36(+00)	1.46(+00)
32         	4.97(-01)	6.02(-01)	7.18(-01)	8.42(-01)	9.73(-01)	1.10(+00)	1.23(+00)	1.35(+00)	1.45(+00)
33         	5.00(-01)	6.04(-01)	7.19(-01)	8.42(-01)	9.71(-01)	1.10(+00)	1.22(+00)	1.34(+00)	1.45(+00)
34         	5.02(-01)	6.06(-01)	7.19(-01)	8.41(-01)	9.68(-01)	1.10(+00)	1.22(+00)	1.34(+00)	1.44(+00)
35         	5.04(-01)	6.07(-01)	7.19(-01)	8.39(-01)	9.65(-01)	1.09(+00)	1.21(+00)	1.33(+00)	1.43(+00)
36         	5.05(-01)	6.07(-01)	7.18(-01)	8.37(-01)	9.61(-01)	1.09(+00)	1.20(+00)	1.32(+00)	1.42(+00)
37         	5.06(-01)	6.07(-01)	7.17(-01)	8.35(-01)	9.57(-01)	1.08(+00)	1.20(+00)	1.31(+00)	1.41(+00)
38         	5.06(-01)	6.06(-01)	7.15(-01)	8.31(-01)	9.53(-01)	1.07(+00)	1.19(+00)	1.30(+00)	1.40(+00)
39         	5.06(-01)	6.05(-01)	7.13(-01)	8.28(-01)	9.48(-01)	1.07(+00)	1.18(+00)	1.29(+00)	1.38(+00)
40         	5.06(-01)	6.04(-01)	7.11(-01)	8.25(-01)	9.43(-01)	1.06(+00)	1.17(+00)	1.28(+00)	1.37(+00)
41         	5.05(-01)	6.03(-01)	7.08(-01)	8.21(-01)	9.38(-01)	1.05(+00)	1.16(+00)	1.27(+00)	1.36(+00)
42         	5.04(-01)	6.01(-01)	7.05(-01)	8.17(-01)	9.32(-01)	1.05(+00)	1.16(+00)	1.26(+00)	1.35(+00)
43         	5.03(-01)	5.99(-01)	7.02(-01)	8.12(-01)	9.27(-01)	1.04(+00)	1.15(+00)	1.25(+00)	1.34(+00)
44         	5.02(-01)	5.97(-01)	6.99(-01)	8.08(-01)	9.21(-01)	1.03(+00)	1.14(+00)	1.24(+00)	1.33(+00)
45         	5.01(-01)	5.94(-01)	6.95(-01)	8.03(-01)	9.15(-01)	1.03(+00)	1.13(+00)	1.23(+00)	1.32(+00)
46         	4.99(-01)	5.92(-01)	6.92(-01)	7.99(-01)	9.09(-01)	1.02(+00)	1.12(+00)	1.22(+00)	1.31(+00)
47         	4.97(-01)	5.89(-01)	6.88(-01)	7.94(-01)	9.03(-01)	1.01(+00)	1.11(+00)	1.21(+00)	1.30(+00)
48         	4.95(-01)	5.87(-01)	6.85(-01)	7.89(-01)	8.97(-01)	1.00(+00)	1.10(+00)	1.20(+00)	1.29(+00)
49         	4.94(-01)	5.84(-01)	6.81(-01)	7.84(-01)	8.91(-01)	9.97(-01)	1.10(+00)	1.20(+00)	1.28(+00)
50         	4.91(-01)	5.81(-01)	6.77(-01)	7.79(-01)	8.85(-01)	9.89(-01)	1.09(+00)	1.18(+00)	1.27(+00)
60         	4.68(-01)	5.50(-01)	6.37(-01)	7.30(-01)	8.25(-01)	9.19(-01)	1.01(+00)	1.10(+00)	1.17(+00)
70         	4.44(-01)	5.19(-01)	5.99(-01)	6.84(-01)	7.71(-01)	8.55(-01)	9.35(-01)	1.01(+00)	1.08(+00)
85         	4.09(-01)	4.76(-01)	5.47(-01)	6.22(-01)	6.99(-01)	7.74(-01)	8.44(-01)	9.14(-01)	9.73(-01)
100         	3.78(-01)	4.39(-01)	5.03(-01)	5.71(-01)	6.40(-01)	7.07(-01)	7.70(-01)	8.33(-01)	8.85(-01)
150         	3.02(-01)	3.49(-01)	3.98(-01)	4.49(-01)	5.01(-01)	5.52(-01)	5.99(-01)	6.46(-01)	6.85(-01)
200         	2.53(-01)	2.91(-01)	3.31(-01)	3.73(-01)	4.15(-01)	4.56(-01)	4.94(-01)	5.32(-01)	5.64(-01)




Energy         	v=9         	v=10         	v=11         	v=12         	v=13         	v=14
7         	         	         	         	1.21(-08)	6.49(-06)	5.86(-07)
8         	5.82(-01)	7.79(-01)	8.25(-01)	9.18(-01)	7.69(-01)	3.68(-01)
9         	9.15(-01)	9.62(-01)	9.63(-01)	9.06(-01)	7.48(-01)	5.21(-01)
10         	9.86(-01)	1.01(+00)	9.82(-01)	8.94(-01)	7.18(-01)	4.78(-01)
11         	1.04(+00)	1.06(+00)	1.03(+00)	9.35(-01)	7.40(-01)	4.75(-01)
12         	1.10(+00)	1.13(+00)	1.10(+00)	1.00(+00)	7.88(-01)	4.97(-01)
13         	1.18(+00)	1.21(+00)	1.18(+00)	1.08(+00)	8.47(-01)	5.32(-01)
14         	1.26(+00)	1.29(+00)	1.26(+00)	1.14(+00)	9.02(-01)	5.68(-01)
15         	1.33(+00)	1.36(+00)	1.33(+00)	1.21(+00)	9.53(-01)	6.03(-01)
16         	1.39(+00)	1.42(+00)	1.38(+00)	1.25(+00)	9.95(-01)	6.32(-01)
17         	1.43(+00)	1.46(+00)	1.42(+00)	1.29(+00)	1.03(+00)	6.58(-01)
18         	1.47(+00)	1.50(+00)	1.46(+00)	1.33(+00)	1.06(+00)	6.79(-01)
19         	1.50(+00)	1.52(+00)	1.48(+00)	1.35(+00)	1.08(+00)	6.96(-01)
20         	1.52(+00)	1.54(+00)	1.50(+00)	1.37(+00)	1.10(+00)	7.10(-01)
21         	1.53(+00)	1.56(+00)	1.51(+00)	1.38(+00)	1.11(+00)	7.21(-01)
22         	1.55(+00)	1.57(+00)	1.52(+00)	1.39(+00)	1.12(+00)	7.29(-01)
23         	1.55(+00)	1.58(+00)	1.53(+00)	1.40(+00)	1.12(+00)	7.36(-01)
24         	1.56(+00)	1.58(+00)	1.53(+00)	1.40(+00)	1.13(+00)	7.40(-01)
25         	1.56(+00)	1.58(+00)	1.53(+00)	1.40(+00)	1.13(+00)	7.43(-01)
26         	1.56(+00)	1.58(+00)	1.53(+00)	1.40(+00)	1.13(+00)	7.45(-01)
27         	1.55(+00)	1.57(+00)	1.52(+00)	1.39(+00)	1.13(+00)	7.46(-01)
28         	1.55(+00)	1.57(+00)	1.52(+00)	1.39(+00)	1.12(+00)	7.45(-01)
29         	1.54(+00)	1.56(+00)	1.51(+00)	1.38(+00)	1.12(+00)	7.44(-01)
30         	1.54(+00)	1.55(+00)	1.50(+00)	1.38(+00)	1.12(+00)	7.42(-01)
31         	1.53(+00)	1.54(+00)	1.50(+00)	1.37(+00)	1.11(+00)	7.40(-01)
32         	1.52(+00)	1.53(+00)	1.49(+00)	1.36(+00)	1.11(+00)	7.37(-01)
33         	1.51(+00)	1.52(+00)	1.48(+00)	1.35(+00)	1.10(+00)	7.33(-01)
34         	1.50(+00)	1.51(+00)	1.46(+00)	1.34(+00)	1.09(+00)	7.30(-01)
35         	1.49(+00)	1.50(+00)	1.45(+00)	1.33(+00)	1.08(+00)	7.26(-01)
36         	1.48(+00)	1.49(+00)	1.44(+00)	1.32(+00)	1.08(+00)	7.21(-01)
37         	1.47(+00)	1.48(+00)	1.43(+00)	1.31(+00)	1.07(+00)	7.17(-01)
38         	1.46(+00)	1.46(+00)	1.42(+00)	1.30(+00)	1.06(+00)	7.12(-01)
39         	1.44(+00)	1.45(+00)	1.41(+00)	1.29(+00)	1.05(+00)	7.08(-01)
40         	1.43(+00)	1.44(+00)	1.39(+00)	1.28(+00)	1.04(+00)	7.03(-01)
41         	1.42(+00)	1.43(+00)	1.38(+00)	1.27(+00)	1.04(+00)	6.98(-01)
42         	1.41(+00)	1.41(+00)	1.37(+00)	1.26(+00)	1.03(+00)	6.93(-01)
43         	1.40(+00)	1.40(+00)	1.36(+00)	1.25(+00)	1.02(+00)	6.88(-01)
44         	1.38(+00)	1.39(+00)	1.35(+00)	1.24(+00)	1.01(+00)	6.83(-01)
45         	1.37(+00)	1.38(+00)	1.34(+00)	1.23(+00)	1.00(+00)	6.78(-01)
46         	1.36(+00)	1.37(+00)	1.33(+00)	1.22(+00)	9.96(-01)	6.73(-01)
47         	1.35(+00)	1.36(+00)	1.31(+00)	1.21(+00)	9.88(-01)	6.68(-01)
48         	1.34(+00)	1.34(+00)	1.30(+00)	1.20(+00)	9.80(-01)	6.63(-01)
49         	1.33(+00)	1.33(+00)	1.29(+00)	1.18(+00)	9.72(-01)	6.58(-01)
50         	1.32(+00)	1.32(+00)	1.28(+00)	1.17(+00)	9.64(-01)	6.54(-01)
60         	1.21(+00)	1.22(+00)	1.18(+00)	1.08(+00)	8.90(-01)	6.06(-01)
70         	1.12(+00)	1.12(+00)	1.09(+00)	1.00(+00)	8.25(-01)	5.64(-01)
85         	1.01(+00)	1.01(+00)	9.78(-01)	9.00(-01)	7.44(-01)	5.11(-01)
100         	9.15(-01)	9.17(-01)	8.89(-01)	8.19(-01)	6.77(-01)	4.67(-01)
150         	7.07(-01)	7.08(-01)	6.87(-01)	6.34(-01)	5.26(-01)	3.65(-01)
200         	5.82(-01)	5.82(-01)	5.64(-01)	5.21(-01)	4.34(-01)	3.02(-01)

