Table IIa. Energies are in eV and Cross Sections are in Angstrom^2.

Energy         	v=0         	v=1         	v=2         	v=3         	v=4         	v=5         	v=6         	v=7         	v=8
12         	         	         	         	         	         	         	         	6.89(-03)	1.18(-02)
13         	         	         	         	         	1.72(-04)	1.39(-02)	4.02(-02)	4.29(-02)	4.28(-02)
14         	         	         	2.12(-02)	3.74(-02)	2.74(-02)	3.04(-02)	4.78(-02)	4.61(-02)	4.36(-02)
15         	2.14(-03)	1.88(-02)	4.93(-02)	6.33(-02)	5.18(-02)	5.13(-02)	6.37(-02)	5.88(-02)	5.36(-02)
16         	3.47(-03)	2.05(-02)	5.01(-02)	6.43(-02)	5.47(-02)	5.50(-02)	6.71(-02)	6.25(-02)	5.74(-02)
17         	3.29(-03)	1.92(-02)	4.68(-02)	6.04(-02)	5.20(-02)	5.30(-02)	6.58(-02)	6.19(-02)	5.74(-02)
18         	3.05(-03)	1.79(-02)	4.40(-02)	5.72(-02)	4.92(-02)	5.08(-02)	6.43(-02)	6.09(-02)	5.68(-02)
19         	2.88(-03)	1.71(-02)	4.25(-02)	5.54(-02)	4.75(-02)	4.95(-02)	6.38(-02)	6.06(-02)	5.67(-02)
20         	2.80(-03)	1.68(-02)	4.20(-02)	5.51(-02)	4.69(-02)	4.91(-02)	6.43(-02)	6.11(-02)	5.73(-02)
21         	2.78(-03)	1.68(-02)	4.25(-02)	5.57(-02)	4.72(-02)	4.96(-02)	6.55(-02)	6.23(-02)	5.84(-02)
22         	2.82(-03)	1.72(-02)	4.35(-02)	5.72(-02)	4.82(-02)	5.07(-02)	6.74(-02)	6.40(-02)	6.00(-02)
23         	2.89(-03)	1.77(-02)	4.49(-02)	5.90(-02)	4.97(-02)	5.22(-02)	6.95(-02)	6.61(-02)	6.19(-02)
24         	2.98(-03)	1.83(-02)	4.66(-02)	6.11(-02)	5.14(-02)	5.39(-02)	7.18(-02)	6.82(-02)	6.39(-02)
25         	3.09(-03)	1.89(-02)	4.83(-02)	6.34(-02)	5.32(-02)	5.58(-02)	7.43(-02)	7.05(-02)	6.60(-02)
26         	3.20(-03)	1.96(-02)	5.00(-02)	6.57(-02)	5.51(-02)	5.77(-02)	7.66(-02)	7.27(-02)	6.80(-02)
27         	3.31(-03)	2.03(-02)	5.18(-02)	6.79(-02)	5.69(-02)	5.96(-02)	7.89(-02)	7.49(-02)	7.00(-02)
28         	3.42(-03)	2.10(-02)	5.34(-02)	7.00(-02)	5.87(-02)	6.14(-02)	8.11(-02)	7.69(-02)	7.18(-02)
29         	3.53(-03)	2.16(-02)	5.50(-02)	7.20(-02)	6.05(-02)	6.31(-02)	8.32(-02)	7.89(-02)	7.36(-02)
30         	3.63(-03)	2.22(-02)	5.64(-02)	7.39(-02)	6.21(-02)	6.47(-02)	8.52(-02)	8.07(-02)	7.52(-02)
31         	3.72(-03)	2.28(-02)	5.78(-02)	7.57(-02)	6.36(-02)	6.63(-02)	8.69(-02)	8.23(-02)	7.68(-02)
32         	3.81(-03)	2.33(-02)	5.90(-02)	7.73(-02)	6.51(-02)	6.77(-02)	8.86(-02)	8.39(-02)	7.82(-02)
33         	3.89(-03)	2.37(-02)	6.02(-02)	7.88(-02)	6.64(-02)	6.90(-02)	9.01(-02)	8.53(-02)	7.95(-02)
34         	3.96(-03)	2.42(-02)	6.12(-02)	8.02(-02)	6.76(-02)	7.02(-02)	9.14(-02)	8.66(-02)	8.06(-02)
35         	4.03(-03)	2.46(-02)	6.22(-02)	8.14(-02)	6.87(-02)	7.13(-02)	9.27(-02)	8.77(-02)	8.17(-02)
36         	4.09(-03)	2.49(-02)	6.30(-02)	8.25(-02)	6.97(-02)	7.23(-02)	9.38(-02)	8.88(-02)	8.27(-02)
37         	4.15(-03)	2.53(-02)	6.38(-02)	8.35(-02)	7.06(-02)	7.32(-02)	9.48(-02)	8.97(-02)	8.35(-02)
38         	4.20(-03)	2.56(-02)	6.45(-02)	8.44(-02)	7.14(-02)	7.40(-02)	9.57(-02)	9.06(-02)	8.43(-02)
39         	4.24(-03)	2.58(-02)	6.51(-02)	8.52(-02)	7.22(-02)	7.47(-02)	9.65(-02)	9.13(-02)	8.50(-02)
40         	4.28(-03)	2.60(-02)	6.57(-02)	8.60(-02)	7.28(-02)	7.54(-02)	9.72(-02)	9.20(-02)	8.56(-02)
41         	4.32(-03)	2.62(-02)	6.62(-02)	8.66(-02)	7.34(-02)	7.60(-02)	9.78(-02)	9.26(-02)	8.61(-02)
42         	4.35(-03)	2.64(-02)	6.66(-02)	8.72(-02)	7.40(-02)	7.65(-02)	9.84(-02)	9.31(-02)	8.66(-02)
43         	4.38(-03)	2.66(-02)	6.70(-02)	8.77(-02)	7.44(-02)	7.70(-02)	9.88(-02)	9.35(-02)	8.70(-02)
44         	4.40(-03)	2.67(-02)	6.74(-02)	8.81(-02)	7.49(-02)	7.74(-02)	9.92(-02)	9.39(-02)	8.73(-02)
45         	4.42(-03)	2.69(-02)	6.76(-02)	8.85(-02)	7.52(-02)	7.77(-02)	9.96(-02)	9.42(-02)	8.76(-02)
46         	4.44(-03)	2.70(-02)	6.79(-02)	8.88(-02)	7.55(-02)	7.80(-02)	9.98(-02)	9.45(-02)	8.79(-02)
47         	4.46(-03)	2.70(-02)	6.81(-02)	8.90(-02)	7.58(-02)	7.83(-02)	1.00(-01)	9.47(-02)	8.81(-02)
48         	4.47(-03)	2.71(-02)	6.83(-02)	8.93(-02)	7.60(-02)	7.85(-02)	1.00(-01)	9.49(-02)	8.83(-02)
49         	4.48(-03)	2.72(-02)	6.84(-02)	8.94(-02)	7.62(-02)	7.87(-02)	1.00(-01)	9.50(-02)	8.84(-02)
50         	4.49(-03)	2.72(-02)	6.85(-02)	8.96(-02)	7.64(-02)	7.88(-02)	1.01(-01)	9.51(-02)	8.85(-02)
55         	4.51(-03)	2.73(-02)	6.86(-02)	8.98(-02)	7.67(-02)	7.91(-02)	1.01(-01)	9.51(-02)	8.85(-02)
60         	4.49(-03)	2.72(-02)	6.83(-02)	8.94(-02)	7.65(-02)	7.89(-02)	9.99(-02)	9.46(-02)	8.79(-02)
65         	4.46(-03)	2.70(-02)	6.77(-02)	8.85(-02)	7.59(-02)	7.82(-02)	9.88(-02)	9.36(-02)	8.70(-02)
70         	4.40(-03)	2.66(-02)	6.68(-02)	8.74(-02)	7.51(-02)	7.73(-02)	9.75(-02)	9.24(-02)	8.59(-02)
75         	4.34(-03)	2.63(-02)	6.59(-02)	8.62(-02)	7.41(-02)	7.63(-02)	9.60(-02)	9.10(-02)	8.46(-02)
100         	3.98(-03)	2.41(-02)	6.04(-02)	7.91(-02)	6.83(-02)	7.02(-02)	8.79(-02)	8.34(-02)	7.76(-02)
150         	3.34(-03)	2.02(-02)	5.06(-02)	6.64(-02)	5.76(-02)	5.92(-02)	7.37(-02)	6.99(-02)	6.51(-02)
200         	2.87(-03)	1.74(-02)	4.35(-02)	5.70(-02)	4.96(-02)	5.10(-02)	6.33(-02)	6.01(-02)	5.60(-02)




Energy         	v=9         	v=10         	v=11         	v=12         	v=13         	v=14
11         	         	9.44(-03)	9.33(-03)	1.62(-02)	2.01(-02)	3.93(-02)
12         	3.44(-02)	4.20(-02)	3.54(-02)	3.47(-02)	3.08(-02)	4.20(-02)
13         	5.87(-02)	6.13(-02)	5.12(-02)	4.60(-02)	3.74(-02)	4.33(-02)
14         	5.65(-02)	5.80(-02)	4.83(-02)	4.33(-02)	3.53(-02)	4.11(-02)
15         	6.36(-02)	6.30(-02)	5.19(-02)	4.58(-02)	3.67(-02)	4.20(-02)
16         	6.73(-02)	6.65(-02)	5.50(-02)	4.84(-02)	3.87(-02)	4.36(-02)
17         	6.82(-02)	6.79(-02)	5.63(-02)	4.98(-02)	3.99(-02)	4.54(-02)
18         	6.86(-02)	6.88(-02)	5.72(-02)	5.08(-02)	4.10(-02)	4.72(-02)
19         	6.95(-02)	7.01(-02)	5.82(-02)	5.20(-02)	4.21(-02)	4.91(-02)
20         	7.10(-02)	7.18(-02)	5.97(-02)	5.35(-02)	4.34(-02)	5.10(-02)
21         	7.29(-02)	7.40(-02)	6.15(-02)	5.51(-02)	4.49(-02)	5.29(-02)
22         	7.52(-02)	7.64(-02)	6.34(-02)	5.69(-02)	4.63(-02)	5.48(-02)
23         	7.76(-02)	7.88(-02)	6.55(-02)	5.87(-02)	4.78(-02)	5.65(-02)
24         	8.01(-02)	8.13(-02)	6.76(-02)	6.05(-02)	4.92(-02)	5.82(-02)
25         	8.25(-02)	8.37(-02)	6.95(-02)	6.23(-02)	5.06(-02)	5.96(-02)
26         	8.48(-02)	8.60(-02)	7.14(-02)	6.39(-02)	5.19(-02)	6.10(-02)
27         	8.71(-02)	8.82(-02)	7.32(-02)	6.54(-02)	5.30(-02)	6.22(-02)
28         	8.92(-02)	9.02(-02)	7.49(-02)	6.68(-02)	5.41(-02)	6.32(-02)
29         	9.11(-02)	9.20(-02)	7.64(-02)	6.81(-02)	5.51(-02)	6.42(-02)
30         	9.29(-02)	9.37(-02)	7.78(-02)	6.93(-02)	5.60(-02)	6.50(-02)
31         	9.45(-02)	9.53(-02)	7.91(-02)	7.03(-02)	5.68(-02)	6.58(-02)
32         	9.60(-02)	9.66(-02)	8.02(-02)	7.13(-02)	5.75(-02)	6.64(-02)
33         	9.73(-02)	9.79(-02)	8.13(-02)	7.21(-02)	5.81(-02)	6.70(-02)
34         	9.85(-02)	9.90(-02)	8.22(-02)	7.29(-02)	5.87(-02)	6.74(-02)
35         	9.96(-02)	1.00(-01)	8.30(-02)	7.36(-02)	5.92(-02)	6.78(-02)
36         	1.01(-01)	1.01(-01)	8.37(-02)	7.41(-02)	5.96(-02)	6.82(-02)
37         	1.01(-01)	1.02(-01)	8.44(-02)	7.47(-02)	6.00(-02)	6.85(-02)
38         	1.02(-01)	1.02(-01)	8.49(-02)	7.51(-02)	6.03(-02)	6.87(-02)
39         	1.03(-01)	1.03(-01)	8.54(-02)	7.55(-02)	6.05(-02)	6.89(-02)
40         	1.03(-01)	1.03(-01)	8.58(-02)	7.58(-02)	6.08(-02)	6.90(-02)
41         	1.04(-01)	1.04(-01)	8.62(-02)	7.61(-02)	6.09(-02)	6.91(-02)
42         	1.04(-01)	1.04(-01)	8.65(-02)	7.63(-02)	6.11(-02)	6.91(-02)
43         	1.05(-01)	1.04(-01)	8.67(-02)	7.64(-02)	6.12(-02)	6.91(-02)
44         	1.05(-01)	1.05(-01)	8.69(-02)	7.66(-02)	6.13(-02)	6.91(-02)
45         	1.05(-01)	1.05(-01)	8.70(-02)	7.67(-02)	6.13(-02)	6.91(-02)
46         	1.05(-01)	1.05(-01)	8.71(-02)	7.67(-02)	6.13(-02)	6.90(-02)
47         	1.05(-01)	1.05(-01)	8.72(-02)	7.67(-02)	6.13(-02)	6.89(-02)
48         	1.06(-01)	1.05(-01)	8.72(-02)	7.67(-02)	6.13(-02)	6.88(-02)
49         	1.06(-01)	1.05(-01)	8.72(-02)	7.67(-02)	6.13(-02)	6.86(-02)
50         	1.06(-01)	1.05(-01)	8.72(-02)	7.66(-02)	6.12(-02)	6.85(-02)
55         	1.05(-01)	1.04(-01)	8.67(-02)	7.61(-02)	6.07(-02)	6.76(-02)
60         	1.04(-01)	1.03(-01)	8.58(-02)	7.52(-02)	5.99(-02)	6.64(-02)
65         	1.03(-01)	1.02(-01)	8.45(-02)	7.40(-02)	5.89(-02)	6.51(-02)
70         	1.01(-01)	1.00(-01)	8.32(-02)	7.28(-02)	5.79(-02)	6.38(-02)
75         	9.95(-02)	9.85(-02)	8.17(-02)	7.14(-02)	5.68(-02)	6.24(-02)
100         	9.05(-02)	8.94(-02)	7.42(-02)	6.47(-02)	5.13(-02)	5.59(-02)
150         	7.55(-02)	7.43(-02)	6.17(-02)	5.37(-02)	4.25(-02)	4.59(-02)
200         	6.47(-02)	6.36(-02)	5.28(-02)	4.59(-02)	3.63(-02)	3.90(-02)

