Table Xa. Energies are in eV and Cross Sections are in Angstrom^2.

Energy         	v=0         	v=1         	v=2         	v=3         	v=4         	v=5         	v=6         	v=7         	v=8
9         	         	         	         	         	         	         	         	         	5.06(-07)
10         	         	         	         	         	         	4.76(-03)	2.04(-02)	4.93(-02)	8.75(-02)
11         	         	         	         	1.11(-01)	2.45(-01)	2.82(-01)	3.45(-01)	3.96(-01)	4.34(-01)
12         	         	1.68(-01)	2.37(-01)	2.80(-01)	3.14(-01)	3.53(-01)	3.78(-01)	4.10(-01)	4.37(-01)
13         	2.08(-01)	2.32(-01)	2.76(-01)	3.06(-01)	3.31(-01)	3.57(-01)	3.87(-01)	4.14(-01)	4.38(-01)
14         	3.22(-01)	3.16(-01)	3.20(-01)	3.27(-01)	3.37(-01)	3.56(-01)	3.83(-01)	4.08(-01)	4.32(-01)
15         	3.08(-01)	3.17(-01)	3.31(-01)	3.43(-01)	3.55(-01)	3.76(-01)	4.02(-01)	4.28(-01)	4.51(-01)
16         	2.89(-01)	3.05(-01)	3.26(-01)	3.45(-01)	3.63(-01)	3.89(-01)	4.19(-01)	4.48(-01)	4.74(-01)
17         	2.79(-01)	3.01(-01)	3.27(-01)	3.50(-01)	3.73(-01)	4.02(-01)	4.36(-01)	4.67(-01)	4.96(-01)
18         	2.79(-01)	3.04(-01)	3.33(-01)	3.60(-01)	3.86(-01)	4.17(-01)	4.54(-01)	4.88(-01)	5.19(-01)
19         	2.85(-01)	3.13(-01)	3.44(-01)	3.73(-01)	4.00(-01)	4.34(-01)	4.72(-01)	5.08(-01)	5.42(-01)
20         	2.96(-01)	3.24(-01)	3.57(-01)	3.87(-01)	4.16(-01)	4.51(-01)	4.91(-01)	5.29(-01)	5.63(-01)
21         	3.08(-01)	3.37(-01)	3.71(-01)	4.02(-01)	4.32(-01)	4.68(-01)	5.09(-01)	5.47(-01)	5.83(-01)
22         	3.21(-01)	3.51(-01)	3.85(-01)	4.17(-01)	4.47(-01)	4.84(-01)	5.25(-01)	5.64(-01)	6.01(-01)
23         	3.35(-01)	3.64(-01)	3.99(-01)	4.31(-01)	4.61(-01)	4.98(-01)	5.40(-01)	5.80(-01)	6.17(-01)
24         	3.47(-01)	3.77(-01)	4.12(-01)	4.44(-01)	4.74(-01)	5.11(-01)	5.54(-01)	5.94(-01)	6.31(-01)
25         	3.59(-01)	3.89(-01)	4.24(-01)	4.56(-01)	4.86(-01)	5.23(-01)	5.66(-01)	6.07(-01)	6.44(-01)
26         	3.70(-01)	3.99(-01)	4.34(-01)	4.66(-01)	4.96(-01)	5.33(-01)	5.77(-01)	6.17(-01)	6.55(-01)
27         	3.79(-01)	4.09(-01)	4.44(-01)	4.76(-01)	5.05(-01)	5.43(-01)	5.86(-01)	6.27(-01)	6.64(-01)
28         	3.88(-01)	4.18(-01)	4.53(-01)	4.84(-01)	5.13(-01)	5.51(-01)	5.94(-01)	6.35(-01)	6.72(-01)
29         	3.96(-01)	4.26(-01)	4.60(-01)	4.92(-01)	5.20(-01)	5.58(-01)	6.01(-01)	6.42(-01)	6.79(-01)
30         	4.03(-01)	4.32(-01)	4.67(-01)	4.98(-01)	5.26(-01)	5.63(-01)	6.07(-01)	6.47(-01)	6.85(-01)
31         	4.09(-01)	4.38(-01)	4.73(-01)	5.04(-01)	5.32(-01)	5.68(-01)	6.12(-01)	6.52(-01)	6.89(-01)
32         	4.14(-01)	4.44(-01)	4.78(-01)	5.08(-01)	5.36(-01)	5.73(-01)	6.16(-01)	6.56(-01)	6.93(-01)
33         	4.19(-01)	4.48(-01)	4.82(-01)	5.12(-01)	5.40(-01)	5.76(-01)	6.19(-01)	6.59(-01)	6.96(-01)
34         	4.23(-01)	4.52(-01)	4.86(-01)	5.16(-01)	5.43(-01)	5.79(-01)	6.21(-01)	6.61(-01)	6.98(-01)
35         	4.26(-01)	4.55(-01)	4.89(-01)	5.19(-01)	5.45(-01)	5.81(-01)	6.23(-01)	6.63(-01)	7.00(-01)
36         	4.29(-01)	4.58(-01)	4.92(-01)	5.21(-01)	5.47(-01)	5.82(-01)	6.25(-01)	6.64(-01)	7.01(-01)
37         	4.32(-01)	4.60(-01)	4.94(-01)	5.23(-01)	5.49(-01)	5.84(-01)	6.26(-01)	6.65(-01)	7.01(-01)
38         	4.34(-01)	4.62(-01)	4.96(-01)	5.24(-01)	5.49(-01)	5.84(-01)	6.26(-01)	6.65(-01)	7.01(-01)
39         	4.35(-01)	4.64(-01)	4.97(-01)	5.25(-01)	5.50(-01)	5.85(-01)	6.26(-01)	6.65(-01)	7.01(-01)
40         	4.37(-01)	4.65(-01)	4.98(-01)	5.26(-01)	5.50(-01)	5.85(-01)	6.26(-01)	6.64(-01)	7.00(-01)
41         	4.37(-01)	4.65(-01)	4.98(-01)	5.26(-01)	5.50(-01)	5.84(-01)	6.25(-01)	6.64(-01)	6.99(-01)
42         	4.38(-01)	4.66(-01)	4.98(-01)	5.26(-01)	5.50(-01)	5.84(-01)	6.24(-01)	6.62(-01)	6.97(-01)
43         	4.38(-01)	4.66(-01)	4.99(-01)	5.25(-01)	5.49(-01)	5.83(-01)	6.23(-01)	6.61(-01)	6.96(-01)
44         	4.38(-01)	4.66(-01)	4.98(-01)	5.25(-01)	5.49(-01)	5.82(-01)	6.22(-01)	6.59(-01)	6.94(-01)
45         	4.38(-01)	4.66(-01)	4.98(-01)	5.24(-01)	5.48(-01)	5.80(-01)	6.20(-01)	6.57(-01)	6.92(-01)
46         	4.38(-01)	4.65(-01)	4.97(-01)	5.23(-01)	5.46(-01)	5.79(-01)	6.18(-01)	6.55(-01)	6.90(-01)
47         	4.38(-01)	4.65(-01)	4.96(-01)	5.22(-01)	5.45(-01)	5.77(-01)	6.17(-01)	6.53(-01)	6.87(-01)
48         	4.37(-01)	4.64(-01)	4.95(-01)	5.21(-01)	5.44(-01)	5.76(-01)	6.14(-01)	6.51(-01)	6.85(-01)
49         	4.36(-01)	4.63(-01)	4.94(-01)	5.20(-01)	5.42(-01)	5.74(-01)	6.12(-01)	6.49(-01)	6.82(-01)
50         	4.36(-01)	4.62(-01)	4.93(-01)	5.18(-01)	5.40(-01)	5.72(-01)	6.10(-01)	6.46(-01)	6.79(-01)
60         	4.22(-01)	4.48(-01)	4.77(-01)	4.99(-01)	5.19(-01)	5.48(-01)	5.84(-01)	6.17(-01)	6.48(-01)
70         	4.05(-01)	4.29(-01)	4.56(-01)	4.77(-01)	4.95(-01)	5.22(-01)	5.55(-01)	5.86(-01)	6.15(-01)
85         	3.78(-01)	4.00(-01)	4.25(-01)	4.44(-01)	4.60(-01)	4.84(-01)	5.14(-01)	5.42(-01)	5.69(-01)
100         	3.53(-01)	3.74(-01)	3.97(-01)	4.14(-01)	4.28(-01)	4.50(-01)	4.77(-01)	5.03(-01)	5.27(-01)
150         	2.88(-01)	3.05(-01)	3.23(-01)	3.36(-01)	3.46(-01)	3.63(-01)	3.85(-01)	4.06(-01)	4.25(-01)
200         	2.43(-01)	2.58(-01)	2.73(-01)	2.84(-01)	2.92(-01)	3.06(-01)	3.25(-01)	3.42(-01)	3.57(-01)




Energy         	v=9         	v=10         	v=11         	v=12         	v=13         	v=14
8         	         	         	         	         	5.51(-08)	3.15(-08)
9         	1.81(-06)	7.99(-06)	1.09(-06)	4.00(-06)	2.41(-06)	1.37(-06)
10         	4.32(-01)	4.91(-01)	5.59(-01)	6.10(-01)	5.45(-01)	2.58(-01)
11         	4.75(-01)	5.07(-01)	5.49(-01)	5.89(-01)	6.17(-01)	6.30(-01)
12         	4.62(-01)	4.84(-01)	5.15(-01)	5.44(-01)	5.59(-01)	5.63(-01)
13         	4.59(-01)	4.78(-01)	5.04(-01)	5.26(-01)	5.32(-01)	5.25(-01)
14         	4.54(-01)	4.74(-01)	5.02(-01)	5.24(-01)	5.26(-01)	5.13(-01)
15         	4.75(-01)	4.95(-01)	5.24(-01)	5.45(-01)	5.44(-01)	5.25(-01)
16         	5.00(-01)	5.22(-01)	5.53(-01)	5.75(-01)	5.72(-01)	5.49(-01)
17         	5.25(-01)	5.49(-01)	5.83(-01)	6.06(-01)	6.03(-01)	5.79(-01)
18         	5.50(-01)	5.76(-01)	6.12(-01)	6.37(-01)	6.35(-01)	6.10(-01)
19         	5.74(-01)	6.01(-01)	6.39(-01)	6.66(-01)	6.65(-01)	6.40(-01)
20         	5.96(-01)	6.25(-01)	6.65(-01)	6.93(-01)	6.93(-01)	6.68(-01)
21         	6.17(-01)	6.47(-01)	6.88(-01)	7.18(-01)	7.19(-01)	6.94(-01)
22         	6.36(-01)	6.66(-01)	7.08(-01)	7.39(-01)	7.42(-01)	7.17(-01)
23         	6.52(-01)	6.83(-01)	7.26(-01)	7.58(-01)	7.62(-01)	7.38(-01)
24         	6.67(-01)	6.98(-01)	7.42(-01)	7.75(-01)	7.79(-01)	7.57(-01)
25         	6.80(-01)	7.11(-01)	7.55(-01)	7.89(-01)	7.94(-01)	7.72(-01)
26         	6.91(-01)	7.23(-01)	7.67(-01)	8.01(-01)	8.07(-01)	7.86(-01)
27         	7.00(-01)	7.32(-01)	7.76(-01)	8.11(-01)	8.18(-01)	7.98(-01)
28         	7.09(-01)	7.40(-01)	7.85(-01)	8.20(-01)	8.27(-01)	8.08(-01)
29         	7.15(-01)	7.47(-01)	7.91(-01)	8.26(-01)	8.35(-01)	8.16(-01)
30         	7.21(-01)	7.52(-01)	7.97(-01)	8.32(-01)	8.41(-01)	8.23(-01)
31         	7.25(-01)	7.57(-01)	8.01(-01)	8.37(-01)	8.46(-01)	8.29(-01)
32         	7.29(-01)	7.60(-01)	8.04(-01)	8.40(-01)	8.50(-01)	8.34(-01)
33         	7.32(-01)	7.63(-01)	8.07(-01)	8.42(-01)	8.53(-01)	8.37(-01)
34         	7.34(-01)	7.65(-01)	8.08(-01)	8.44(-01)	8.54(-01)	8.40(-01)
35         	7.35(-01)	7.66(-01)	8.09(-01)	8.45(-01)	8.56(-01)	8.42(-01)
36         	7.36(-01)	7.66(-01)	8.09(-01)	8.45(-01)	8.56(-01)	8.43(-01)
37         	7.36(-01)	7.66(-01)	8.09(-01)	8.45(-01)	8.56(-01)	8.44(-01)
38         	7.35(-01)	7.66(-01)	8.08(-01)	8.44(-01)	8.56(-01)	8.44(-01)
39         	7.35(-01)	7.65(-01)	8.07(-01)	8.43(-01)	8.55(-01)	8.43(-01)
40         	7.34(-01)	7.63(-01)	8.06(-01)	8.41(-01)	8.54(-01)	8.42(-01)
41         	7.32(-01)	7.62(-01)	8.04(-01)	8.39(-01)	8.52(-01)	8.41(-01)
42         	7.31(-01)	7.60(-01)	8.02(-01)	8.37(-01)	8.50(-01)	8.39(-01)
43         	7.29(-01)	7.58(-01)	7.99(-01)	8.34(-01)	8.47(-01)	8.37(-01)
44         	7.27(-01)	7.56(-01)	7.97(-01)	8.31(-01)	8.45(-01)	8.35(-01)
45         	7.24(-01)	7.53(-01)	7.94(-01)	8.28(-01)	8.42(-01)	8.33(-01)
46         	7.22(-01)	7.50(-01)	7.91(-01)	8.25(-01)	8.39(-01)	8.30(-01)
47         	7.19(-01)	7.47(-01)	7.87(-01)	8.22(-01)	8.35(-01)	8.27(-01)
48         	7.16(-01)	7.44(-01)	7.84(-01)	8.18(-01)	8.32(-01)	8.24(-01)
49         	7.13(-01)	7.41(-01)	7.81(-01)	8.15(-01)	8.28(-01)	8.21(-01)
50         	7.10(-01)	7.38(-01)	7.77(-01)	8.11(-01)	8.25(-01)	8.18(-01)
60         	6.77(-01)	7.02(-01)	7.38(-01)	7.70(-01)	7.85(-01)	7.80(-01)
70         	6.42(-01)	6.65(-01)	6.99(-01)	7.29(-01)	7.44(-01)	7.41(-01)
85         	5.93(-01)	6.14(-01)	6.44(-01)	6.72(-01)	6.86(-01)	6.86(-01)
100         	5.49(-01)	5.69(-01)	5.96(-01)	6.22(-01)	6.36(-01)	6.36(-01)
150         	4.42(-01)	4.57(-01)	4.78(-01)	4.99(-01)	5.11(-01)	5.13(-01)
200         	3.71(-01)	3.84(-01)	4.02(-01)	4.19(-01)	4.30(-01)	4.32(-01)

