Table VIa. Energies are in eV and Cross Sections are in Angstrom^2.

Energy         	v=0         	v=1         	v=2         	v=3         	v=4         	v=5         	v=6         	v=7         	v=8
14         	         	         	         	         	         	         	         	         	2.53(-04)
15         	         	         	         	         	         	3.03(-04)	2.45(-03)	2.84(-03)	2.69(-03)
16         	         	         	         	8.31(-04)	6.09(-04)	1.29(-03)	3.20(-03)	3.56(-03)	3.44(-03)
17         	         	9.60(-04)	3.75(-03)	5.02(-03)	3.88(-03)	3.75(-03)	4.91(-03)	4.87(-03)	4.51(-03)
18         	3.26(-04)	2.01(-03)	4.92(-03)	6.30(-03)	5.21(-03)	5.10(-03)	6.07(-03)	5.82(-03)	5.30(-03)
19         	3.55(-04)	2.00(-03)	4.82(-03)	6.19(-03)	5.34(-03)	5.30(-03)	6.24(-03)	6.02(-03)	5.51(-03)
20         	3.35(-04)	1.87(-03)	4.52(-03)	5.85(-03)	5.07(-03)	5.08(-03)	6.07(-03)	5.90(-03)	5.44(-03)
21         	3.13(-04)	1.76(-03)	4.28(-03)	5.57(-03)	4.82(-03)	4.88(-03)	5.92(-03)	5.79(-03)	5.35(-03)
22         	2.97(-04)	1.68(-03)	4.13(-03)	5.40(-03)	4.66(-03)	4.74(-03)	5.83(-03)	5.73(-03)	5.30(-03)
23         	2.87(-04)	1.64(-03)	4.07(-03)	5.34(-03)	4.58(-03)	4.68(-03)	5.83(-03)	5.74(-03)	5.32(-03)
24         	2.83(-04)	1.63(-03)	4.08(-03)	5.36(-03)	4.58(-03)	4.70(-03)	5.90(-03)	5.82(-03)	5.39(-03)
25         	2.83(-04)	1.64(-03)	4.14(-03)	5.45(-03)	4.64(-03)	4.76(-03)	6.02(-03)	5.94(-03)	5.51(-03)
26         	2.87(-04)	1.68(-03)	4.23(-03)	5.59(-03)	4.75(-03)	4.87(-03)	6.17(-03)	6.09(-03)	5.65(-03)
27         	2.93(-04)	1.72(-03)	4.35(-03)	5.75(-03)	4.87(-03)	5.00(-03)	6.35(-03)	6.26(-03)	5.81(-03)
28         	3.01(-04)	1.77(-03)	4.49(-03)	5.93(-03)	5.02(-03)	5.15(-03)	6.54(-03)	6.45(-03)	5.98(-03)
29         	3.10(-04)	1.83(-03)	4.63(-03)	6.12(-03)	5.18(-03)	5.31(-03)	6.73(-03)	6.64(-03)	6.15(-03)
30         	3.20(-04)	1.88(-03)	4.78(-03)	6.31(-03)	5.34(-03)	5.46(-03)	6.92(-03)	6.82(-03)	6.32(-03)
31         	3.30(-04)	1.94(-03)	4.92(-03)	6.50(-03)	5.50(-03)	5.62(-03)	7.11(-03)	7.00(-03)	6.48(-03)
32         	3.39(-04)	2.00(-03)	5.06(-03)	6.68(-03)	5.65(-03)	5.78(-03)	7.29(-03)	7.18(-03)	6.64(-03)
33         	3.49(-04)	2.05(-03)	5.20(-03)	6.85(-03)	5.80(-03)	5.92(-03)	7.46(-03)	7.34(-03)	6.79(-03)
34         	3.58(-04)	2.10(-03)	5.32(-03)	7.02(-03)	5.94(-03)	6.06(-03)	7.63(-03)	7.50(-03)	6.93(-03)
35         	3.67(-04)	2.15(-03)	5.44(-03)	7.17(-03)	6.08(-03)	6.20(-03)	7.78(-03)	7.64(-03)	7.06(-03)
36         	3.75(-04)	2.20(-03)	5.56(-03)	7.32(-03)	6.20(-03)	6.32(-03)	7.92(-03)	7.78(-03)	7.18(-03)
37         	3.83(-04)	2.25(-03)	5.66(-03)	7.45(-03)	6.32(-03)	6.44(-03)	8.05(-03)	7.90(-03)	7.29(-03)
38         	3.90(-04)	2.29(-03)	5.76(-03)	7.58(-03)	6.43(-03)	6.55(-03)	8.17(-03)	8.02(-03)	7.40(-03)
39         	3.97(-04)	2.32(-03)	5.85(-03)	7.69(-03)	6.54(-03)	6.65(-03)	8.28(-03)	8.12(-03)	7.49(-03)
40         	4.04(-04)	2.36(-03)	5.93(-03)	7.80(-03)	6.63(-03)	6.74(-03)	8.38(-03)	8.22(-03)	7.58(-03)
41         	4.10(-04)	2.39(-03)	6.01(-03)	7.89(-03)	6.72(-03)	6.83(-03)	8.48(-03)	8.31(-03)	7.65(-03)
42         	4.15(-04)	2.42(-03)	6.08(-03)	7.98(-03)	6.80(-03)	6.90(-03)	8.56(-03)	8.39(-03)	7.73(-03)
43         	4.20(-04)	2.45(-03)	6.14(-03)	8.06(-03)	6.87(-03)	6.97(-03)	8.64(-03)	8.46(-03)	7.79(-03)
44         	4.25(-04)	2.48(-03)	6.20(-03)	8.14(-03)	6.94(-03)	7.04(-03)	8.71(-03)	8.52(-03)	7.85(-03)
45         	4.29(-04)	2.50(-03)	6.25(-03)	8.20(-03)	7.00(-03)	7.10(-03)	8.77(-03)	8.58(-03)	7.90(-03)
46         	4.33(-04)	2.52(-03)	6.30(-03)	8.26(-03)	7.05(-03)	7.15(-03)	8.83(-03)	8.64(-03)	7.95(-03)
47         	4.36(-04)	2.54(-03)	6.35(-03)	8.32(-03)	7.10(-03)	7.20(-03)	8.88(-03)	8.68(-03)	7.99(-03)
48         	4.40(-04)	2.56(-03)	6.38(-03)	8.36(-03)	7.15(-03)	7.24(-03)	8.92(-03)	8.72(-03)	8.02(-03)
49         	4.43(-04)	2.57(-03)	6.42(-03)	8.41(-03)	7.19(-03)	7.28(-03)	8.96(-03)	8.76(-03)	8.06(-03)
50         	4.45(-04)	2.59(-03)	6.45(-03)	8.45(-03)	7.23(-03)	7.32(-03)	9.00(-03)	8.79(-03)	8.08(-03)
55         	4.55(-04)	2.64(-03)	6.55(-03)	8.57(-03)	7.35(-03)	7.44(-03)	9.10(-03)	8.89(-03)	8.17(-03)
60         	4.59(-04)	2.66(-03)	6.60(-03)	8.62(-03)	7.41(-03)	7.48(-03)	9.13(-03)	8.91(-03)	8.18(-03)
65         	4.61(-04)	2.67(-03)	6.59(-03)	8.61(-03)	7.41(-03)	7.48(-03)	9.11(-03)	8.88(-03)	8.15(-03)
70         	4.60(-04)	2.66(-03)	6.56(-03)	8.56(-03)	7.38(-03)	7.44(-03)	9.04(-03)	8.81(-03)	8.08(-03)
75         	4.57(-04)	2.64(-03)	6.50(-03)	8.48(-03)	7.32(-03)	7.38(-03)	8.95(-03)	8.72(-03)	7.99(-03)
100         	4.30(-04)	2.48(-03)	6.08(-03)	7.92(-03)	6.87(-03)	6.91(-03)	8.33(-03)	8.10(-03)	7.42(-03)
150         	3.70(-04)	2.13(-03)	5.20(-03)	6.75(-03)	5.88(-03)	5.91(-03)	7.09(-03)	6.88(-03)	6.29(-03)
200         	3.22(-04)	1.85(-03)	4.51(-03)	5.85(-03)	5.11(-03)	5.13(-03)	6.13(-03)	5.95(-03)	5.44(-03)




Energy         	v=9         	v=10         	v=11         	v=12         	v=13         	v=14
13         	         	         	         	8.24(-05)	4.88(-04)	2.84(-04)
14         	1.98(-03)	2.89(-03)	2.49(-03)	2.09(-03)	1.72(-03)	9.17(-04)
15         	3.80(-03)	4.21(-03)	3.48(-03)	2.80(-03)	2.13(-03)	1.10(-03)
16         	4.40(-03)	4.71(-03)	3.95(-03)	3.16(-03)	2.35(-03)	1.20(-03)
17         	4.86(-03)	4.95(-03)	4.00(-03)	3.21(-03)	2.35(-03)	1.18(-03)
18         	5.71(-03)	5.52(-03)	4.55(-03)	3.54(-03)	2.59(-03)	1.29(-03)
19         	5.92(-03)	5.83(-03)	4.77(-03)	3.76(-03)	2.69(-03)	1.35(-03)
20         	5.96(-03)	5.88(-03)	4.86(-03)	3.81(-03)	2.74(-03)	1.37(-03)
21         	5.93(-03)	5.91(-03)	4.87(-03)	3.83(-03)	2.75(-03)	1.37(-03)
22         	5.94(-03)	5.95(-03)	4.91(-03)	3.87(-03)	2.78(-03)	1.38(-03)
23         	6.01(-03)	6.04(-03)	4.99(-03)	3.93(-03)	2.83(-03)	1.40(-03)
24         	6.12(-03)	6.17(-03)	5.09(-03)	4.01(-03)	2.89(-03)	1.43(-03)
25         	6.27(-03)	6.33(-03)	5.22(-03)	4.11(-03)	2.97(-03)	1.46(-03)
26         	6.44(-03)	6.51(-03)	5.37(-03)	4.22(-03)	3.05(-03)	1.50(-03)
27         	6.62(-03)	6.69(-03)	5.51(-03)	4.34(-03)	3.13(-03)	1.54(-03)
28         	6.81(-03)	6.87(-03)	5.67(-03)	4.46(-03)	3.22(-03)	1.59(-03)
29         	7.00(-03)	7.06(-03)	5.82(-03)	4.58(-03)	3.30(-03)	1.63(-03)
30         	7.18(-03)	7.23(-03)	5.96(-03)	4.69(-03)	3.38(-03)	1.67(-03)
31         	7.35(-03)	7.40(-03)	6.10(-03)	4.80(-03)	3.45(-03)	1.71(-03)
32         	7.51(-03)	7.56(-03)	6.23(-03)	4.90(-03)	3.53(-03)	1.75(-03)
33         	7.67(-03)	7.71(-03)	6.35(-03)	4.99(-03)	3.59(-03)	1.78(-03)
34         	7.81(-03)	7.84(-03)	6.46(-03)	5.08(-03)	3.66(-03)	1.81(-03)
35         	7.95(-03)	7.97(-03)	6.57(-03)	5.16(-03)	3.72(-03)	1.85(-03)
36         	8.07(-03)	8.09(-03)	6.67(-03)	5.24(-03)	3.77(-03)	1.87(-03)
37         	8.18(-03)	8.19(-03)	6.75(-03)	5.31(-03)	3.82(-03)	1.90(-03)
38         	8.28(-03)	8.29(-03)	6.83(-03)	5.37(-03)	3.87(-03)	1.93(-03)
39         	8.38(-03)	8.38(-03)	6.91(-03)	5.43(-03)	3.91(-03)	1.95(-03)
40         	8.46(-03)	8.45(-03)	6.97(-03)	5.48(-03)	3.95(-03)	1.97(-03)
41         	8.54(-03)	8.53(-03)	7.03(-03)	5.53(-03)	3.98(-03)	1.99(-03)
42         	8.61(-03)	8.59(-03)	7.09(-03)	5.57(-03)	4.01(-03)	2.01(-03)
43         	8.67(-03)	8.65(-03)	7.13(-03)	5.61(-03)	4.04(-03)	2.02(-03)
44         	8.72(-03)	8.70(-03)	7.17(-03)	5.64(-03)	4.06(-03)	2.04(-03)
45         	8.77(-03)	8.74(-03)	7.21(-03)	5.67(-03)	4.08(-03)	2.05(-03)
46         	8.81(-03)	8.78(-03)	7.24(-03)	5.70(-03)	4.10(-03)	2.06(-03)
47         	8.85(-03)	8.81(-03)	7.27(-03)	5.72(-03)	4.12(-03)	2.07(-03)
48         	8.88(-03)	8.84(-03)	7.30(-03)	5.74(-03)	4.13(-03)	2.08(-03)
49         	8.91(-03)	8.86(-03)	7.32(-03)	5.75(-03)	4.15(-03)	2.09(-03)
50         	8.93(-03)	8.88(-03)	7.33(-03)	5.77(-03)	4.16(-03)	2.10(-03)
55         	8.99(-03)	8.93(-03)	7.37(-03)	5.80(-03)	4.18(-03)	2.12(-03)
60         	8.98(-03)	8.91(-03)	7.36(-03)	5.79(-03)	4.18(-03)	2.12(-03)
65         	8.92(-03)	8.84(-03)	7.31(-03)	5.75(-03)	4.15(-03)	2.12(-03)
70         	8.83(-03)	8.74(-03)	7.23(-03)	5.69(-03)	4.11(-03)	2.10(-03)
75         	8.72(-03)	8.63(-03)	7.14(-03)	5.62(-03)	4.06(-03)	2.08(-03)
100         	8.05(-03)	7.95(-03)	6.58(-03)	5.19(-03)	3.76(-03)	1.94(-03)
150         	6.79(-03)	6.69(-03)	5.55(-03)	4.38(-03)	3.18(-03)	1.66(-03)
200         	5.85(-03)	5.76(-03)	4.78(-03)	3.78(-03)	2.75(-03)	1.44(-03)

