Table XIVa. Energies are in eV and Cross Sections are in Angstrom^2.

Energy         	v=0         	v=1         	v=2         	v=3         	v=4         	v=5         	v=6         	v=7         	v=8
12         	         	         	         	         	         	         	         	1.76(-04)	4.96(-04)
13         	         	         	         	         	3.03(-03)	1.94(-02)	1.89(-02)	2.48(-02)	2.87(-02)
14         	         	         	1.44(-02)	2.00(-02)	2.30(-02)	2.56(-02)	2.71(-02)	2.84(-02)	3.01(-02)
15         	9.51(-03)	1.80(-02)	2.24(-02)	2.51(-02)	2.63(-02)	2.73(-02)	2.80(-02)	2.88(-02)	3.00(-02)
16         	2.47(-02)	2.31(-02)	2.32(-02)	2.44(-02)	2.53(-02)	2.63(-02)	2.71(-02)	2.80(-02)	2.95(-02)
17         	2.73(-02)	2.66(-02)	2.67(-02)	2.71(-02)	2.72(-02)	2.78(-02)	2.82(-02)	2.89(-02)	3.04(-02)
18         	2.57(-02)	2.59(-02)	2.67(-02)	2.77(-02)	2.81(-02)	2.89(-02)	2.95(-02)	3.03(-02)	3.18(-02)
19         	2.42(-02)	2.49(-02)	2.62(-02)	2.76(-02)	2.84(-02)	2.96(-02)	3.03(-02)	3.13(-02)	3.30(-02)
20         	2.34(-02)	2.44(-02)	2.60(-02)	2.78(-02)	2.88(-02)	3.02(-02)	3.11(-02)	3.23(-02)	3.42(-02)
21         	2.31(-02)	2.44(-02)	2.62(-02)	2.82(-02)	2.94(-02)	3.10(-02)	3.21(-02)	3.33(-02)	3.54(-02)
22         	2.34(-02)	2.47(-02)	2.68(-02)	2.89(-02)	3.03(-02)	3.19(-02)	3.31(-02)	3.44(-02)	3.66(-02)
23         	2.39(-02)	2.54(-02)	2.76(-02)	2.98(-02)	3.12(-02)	3.30(-02)	3.42(-02)	3.56(-02)	3.78(-02)
24         	2.46(-02)	2.62(-02)	2.85(-02)	3.08(-02)	3.23(-02)	3.40(-02)	3.53(-02)	3.67(-02)	3.91(-02)
25         	2.55(-02)	2.71(-02)	2.94(-02)	3.18(-02)	3.33(-02)	3.51(-02)	3.64(-02)	3.78(-02)	4.02(-02)
26         	2.64(-02)	2.80(-02)	3.04(-02)	3.28(-02)	3.43(-02)	3.61(-02)	3.74(-02)	3.89(-02)	4.12(-02)
27         	2.73(-02)	2.90(-02)	3.14(-02)	3.38(-02)	3.53(-02)	3.71(-02)	3.84(-02)	3.98(-02)	4.22(-02)
28         	2.82(-02)	2.98(-02)	3.23(-02)	3.47(-02)	3.62(-02)	3.80(-02)	3.93(-02)	4.07(-02)	4.31(-02)
29         	2.91(-02)	3.07(-02)	3.31(-02)	3.56(-02)	3.70(-02)	3.88(-02)	4.01(-02)	4.15(-02)	4.39(-02)
30         	2.99(-02)	3.15(-02)	3.39(-02)	3.64(-02)	3.78(-02)	3.96(-02)	4.08(-02)	4.22(-02)	4.46(-02)
31         	3.07(-02)	3.22(-02)	3.47(-02)	3.71(-02)	3.85(-02)	4.03(-02)	4.15(-02)	4.29(-02)	4.52(-02)
32         	3.14(-02)	3.29(-02)	3.53(-02)	3.78(-02)	3.92(-02)	4.09(-02)	4.21(-02)	4.35(-02)	4.57(-02)
33         	3.20(-02)	3.36(-02)	3.60(-02)	3.84(-02)	3.97(-02)	4.15(-02)	4.26(-02)	4.39(-02)	4.62(-02)
34         	3.26(-02)	3.42(-02)	3.65(-02)	3.89(-02)	4.02(-02)	4.19(-02)	4.31(-02)	4.44(-02)	4.66(-02)
35         	3.32(-02)	3.47(-02)	3.70(-02)	3.94(-02)	4.07(-02)	4.24(-02)	4.35(-02)	4.48(-02)	4.70(-02)
36         	3.36(-02)	3.51(-02)	3.75(-02)	3.98(-02)	4.11(-02)	4.28(-02)	4.38(-02)	4.51(-02)	4.73(-02)
37         	3.41(-02)	3.56(-02)	3.78(-02)	4.02(-02)	4.15(-02)	4.31(-02)	4.41(-02)	4.54(-02)	4.75(-02)
38         	3.45(-02)	3.59(-02)	3.82(-02)	4.05(-02)	4.18(-02)	4.34(-02)	4.44(-02)	4.56(-02)	4.77(-02)
39         	3.48(-02)	3.63(-02)	3.85(-02)	4.08(-02)	4.20(-02)	4.36(-02)	4.46(-02)	4.58(-02)	4.79(-02)
40         	3.52(-02)	3.66(-02)	3.88(-02)	4.10(-02)	4.23(-02)	4.38(-02)	4.48(-02)	4.60(-02)	4.80(-02)
41         	3.54(-02)	3.68(-02)	3.90(-02)	4.12(-02)	4.24(-02)	4.40(-02)	4.49(-02)	4.61(-02)	4.81(-02)
42         	3.57(-02)	3.71(-02)	3.92(-02)	4.14(-02)	4.26(-02)	4.41(-02)	4.50(-02)	4.62(-02)	4.82(-02)
43         	3.59(-02)	3.73(-02)	3.94(-02)	4.15(-02)	4.27(-02)	4.42(-02)	4.51(-02)	4.62(-02)	4.82(-02)
44         	3.61(-02)	3.74(-02)	3.95(-02)	4.17(-02)	4.28(-02)	4.43(-02)	4.52(-02)	4.63(-02)	4.82(-02)
45         	3.62(-02)	3.76(-02)	3.97(-02)	4.17(-02)	4.29(-02)	4.43(-02)	4.52(-02)	4.63(-02)	4.82(-02)
46         	3.64(-02)	3.77(-02)	3.97(-02)	4.18(-02)	4.30(-02)	4.44(-02)	4.52(-02)	4.63(-02)	4.82(-02)
47         	3.65(-02)	3.78(-02)	3.98(-02)	4.19(-02)	4.30(-02)	4.44(-02)	4.52(-02)	4.63(-02)	4.81(-02)
48         	3.66(-02)	3.79(-02)	3.99(-02)	4.19(-02)	4.30(-02)	4.44(-02)	4.52(-02)	4.62(-02)	4.80(-02)
49         	3.67(-02)	3.79(-02)	3.99(-02)	4.19(-02)	4.30(-02)	4.43(-02)	4.52(-02)	4.62(-02)	4.79(-02)
50         	3.67(-02)	3.80(-02)	3.99(-02)	4.19(-02)	4.30(-02)	4.43(-02)	4.51(-02)	4.61(-02)	4.79(-02)
60         	3.66(-02)	3.77(-02)	3.95(-02)	4.12(-02)	4.22(-02)	4.33(-02)	4.40(-02)	4.48(-02)	4.64(-02)
70         	3.58(-02)	3.68(-02)	3.84(-02)	4.00(-02)	4.08(-02)	4.18(-02)	4.24(-02)	4.31(-02)	4.45(-02)
85         	3.40(-02)	3.50(-02)	3.63(-02)	3.77(-02)	3.85(-02)	3.93(-02)	3.98(-02)	4.04(-02)	4.15(-02)
100         	3.22(-02)	3.30(-02)	3.42(-02)	3.55(-02)	3.62(-02)	3.69(-02)	3.73(-02)	3.78(-02)	3.88(-02)
150         	2.68(-02)	2.75(-02)	2.84(-02)	2.93(-02)	2.98(-02)	3.03(-02)	3.06(-02)	3.09(-02)	3.16(-02)
200         	2.30(-02)	2.36(-02)	2.42(-02)	2.49(-02)	2.54(-02)	2.58(-02)	2.60(-02)	2.62(-02)	2.67(-02)




Energy         	v=9         	v=10         	v=11         	v=12         	v=13         	v=14
11         	         	2.60(-10)	4.37(-08)	5.42(-08)	1.59(-08)	1.08(-08)
12         	1.06(-03)	1.42(-03)	1.12(-03)	3.18(-04)	8.15(-04)	2.86(-03)
13         	3.16(-02)	3.36(-02)	3.58(-02)	3.85(-02)	4.17(-02)	3.88(-02)
14         	3.19(-02)	3.33(-02)	3.47(-02)	3.64(-02)	3.86(-02)	3.53(-02)
15         	3.14(-02)	3.23(-02)	3.33(-02)	3.45(-02)	3.59(-02)	3.24(-02)
16         	3.09(-02)	3.19(-02)	3.28(-02)	3.38(-02)	3.47(-02)	3.07(-02)
17         	3.15(-02)	3.23(-02)	3.31(-02)	3.41(-02)	3.46(-02)	3.01(-02)
18         	3.31(-02)	3.38(-02)	3.46(-02)	3.54(-02)	3.57(-02)	3.06(-02)
19         	3.45(-02)	3.54(-02)	3.62(-02)	3.70(-02)	3.71(-02)	3.16(-02)
20         	3.59(-02)	3.68(-02)	3.78(-02)	3.87(-02)	3.88(-02)	3.29(-02)
21         	3.72(-02)	3.83(-02)	3.93(-02)	4.03(-02)	4.04(-02)	3.43(-02)
22         	3.86(-02)	3.97(-02)	4.08(-02)	4.19(-02)	4.21(-02)	3.58(-02)
23         	3.99(-02)	4.11(-02)	4.22(-02)	4.34(-02)	4.37(-02)	3.72(-02)
24         	4.11(-02)	4.24(-02)	4.36(-02)	4.48(-02)	4.52(-02)	3.86(-02)
25         	4.23(-02)	4.36(-02)	4.48(-02)	4.61(-02)	4.66(-02)	3.99(-02)
26         	4.33(-02)	4.47(-02)	4.60(-02)	4.73(-02)	4.79(-02)	4.11(-02)
27         	4.43(-02)	4.57(-02)	4.70(-02)	4.84(-02)	4.90(-02)	4.22(-02)
28         	4.52(-02)	4.66(-02)	4.79(-02)	4.93(-02)	5.01(-02)	4.32(-02)
29         	4.60(-02)	4.74(-02)	4.87(-02)	5.01(-02)	5.10(-02)	4.41(-02)
30         	4.67(-02)	4.81(-02)	4.94(-02)	5.09(-02)	5.18(-02)	4.49(-02)
31         	4.73(-02)	4.87(-02)	5.00(-02)	5.15(-02)	5.25(-02)	4.56(-02)
32         	4.79(-02)	4.92(-02)	5.06(-02)	5.21(-02)	5.31(-02)	4.62(-02)
33         	4.83(-02)	4.97(-02)	5.10(-02)	5.25(-02)	5.36(-02)	4.68(-02)
34         	4.87(-02)	5.01(-02)	5.14(-02)	5.29(-02)	5.41(-02)	4.73(-02)
35         	4.90(-02)	5.04(-02)	5.17(-02)	5.33(-02)	5.45(-02)	4.77(-02)
36         	4.93(-02)	5.07(-02)	5.20(-02)	5.35(-02)	5.48(-02)	4.81(-02)
37         	4.96(-02)	5.09(-02)	5.22(-02)	5.38(-02)	5.51(-02)	4.84(-02)
38         	4.98(-02)	5.11(-02)	5.24(-02)	5.39(-02)	5.53(-02)	4.86(-02)
39         	4.99(-02)	5.12(-02)	5.25(-02)	5.40(-02)	5.54(-02)	4.88(-02)
40         	5.00(-02)	5.13(-02)	5.26(-02)	5.41(-02)	5.56(-02)	4.90(-02)
41         	5.01(-02)	5.14(-02)	5.27(-02)	5.42(-02)	5.57(-02)	4.92(-02)
42         	5.01(-02)	5.14(-02)	5.27(-02)	5.42(-02)	5.57(-02)	4.93(-02)
43         	5.01(-02)	5.14(-02)	5.27(-02)	5.42(-02)	5.57(-02)	4.94(-02)
44         	5.01(-02)	5.14(-02)	5.27(-02)	5.42(-02)	5.57(-02)	4.94(-02)
45         	5.01(-02)	5.14(-02)	5.26(-02)	5.41(-02)	5.57(-02)	4.94(-02)
46         	5.00(-02)	5.13(-02)	5.25(-02)	5.41(-02)	5.57(-02)	4.94(-02)
47         	5.00(-02)	5.12(-02)	5.25(-02)	5.40(-02)	5.56(-02)	4.94(-02)
48         	4.99(-02)	5.11(-02)	5.24(-02)	5.38(-02)	5.55(-02)	4.94(-02)
49         	4.98(-02)	5.10(-02)	5.22(-02)	5.37(-02)	5.54(-02)	4.94(-02)
50         	4.97(-02)	5.09(-02)	5.21(-02)	5.36(-02)	5.53(-02)	4.93(-02)
60         	4.80(-02)	4.92(-02)	5.03(-02)	5.17(-02)	5.35(-02)	4.81(-02)
70         	4.60(-02)	4.71(-02)	4.81(-02)	4.94(-02)	5.13(-02)	4.63(-02)
85         	4.29(-02)	4.39(-02)	4.48(-02)	4.60(-02)	4.79(-02)	4.35(-02)
100         	4.00(-02)	4.09(-02)	4.17(-02)	4.29(-02)	4.47(-02)	4.08(-02)
150         	3.25(-02)	3.33(-02)	3.39(-02)	3.48(-02)	3.64(-02)	3.36(-02)
200         	2.75(-02)	2.81(-02)	2.86(-02)	2.94(-02)	3.08(-02)	2.85(-02)

