Table IVa. Energies are in eV and Cross Sections are in Angstrom^2.

Energy         	v=0         	v=1         	v=2         	v=3         	v=4         	v=5         	v=6         	v=7         	v=8
14         	         	         	         	         	         	         	1.60(-03)	3.90(-03)	3.44(-03)
15         	         	         	         	         	3.00(-04)	2.01(-03)	7.19(-03)	8.83(-03)	8.09(-03)
16         	         	         	5.58(-03)	9.56(-03)	8.06(-03)	7.38(-03)	1.02(-02)	1.05(-02)	9.04(-03)
17         	4.77(-04)	3.84(-03)	1.02(-02)	1.42(-02)	1.30(-02)	1.20(-02)	1.39(-02)	1.36(-02)	1.18(-02)
18         	6.57(-04)	4.06(-03)	1.02(-02)	1.43(-02)	1.34(-02)	1.27(-02)	1.45(-02)	1.42(-02)	1.24(-02)
19         	6.26(-04)	3.82(-03)	9.61(-03)	1.34(-02)	1.28(-02)	1.23(-02)	1.43(-02)	1.41(-02)	1.24(-02)
20         	5.85(-04)	3.58(-03)	9.05(-03)	1.27(-02)	1.22(-02)	1.18(-02)	1.40(-02)	1.38(-02)	1.21(-02)
21         	5.53(-04)	3.41(-03)	8.69(-03)	1.23(-02)	1.18(-02)	1.15(-02)	1.38(-02)	1.37(-02)	1.20(-02)
22         	5.33(-04)	3.32(-03)	8.52(-03)	1.22(-02)	1.17(-02)	1.14(-02)	1.38(-02)	1.37(-02)	1.20(-02)
23         	5.25(-04)	3.30(-03)	8.52(-03)	1.22(-02)	1.18(-02)	1.15(-02)	1.40(-02)	1.39(-02)	1.22(-02)
24         	5.27(-04)	3.34(-03)	8.64(-03)	1.25(-02)	1.20(-02)	1.17(-02)	1.43(-02)	1.42(-02)	1.24(-02)
25         	5.35(-04)	3.41(-03)	8.85(-03)	1.28(-02)	1.23(-02)	1.20(-02)	1.47(-02)	1.46(-02)	1.28(-02)
26         	5.48(-04)	3.50(-03)	9.11(-03)	1.32(-02)	1.27(-02)	1.24(-02)	1.51(-02)	1.51(-02)	1.31(-02)
27         	5.64(-04)	3.61(-03)	9.40(-03)	1.36(-02)	1.31(-02)	1.28(-02)	1.56(-02)	1.55(-02)	1.35(-02)
28         	5.82(-04)	3.73(-03)	9.71(-03)	1.41(-02)	1.36(-02)	1.32(-02)	1.60(-02)	1.60(-02)	1.39(-02)
29         	6.01(-04)	3.85(-03)	1.00(-02)	1.45(-02)	1.40(-02)	1.36(-02)	1.65(-02)	1.64(-02)	1.43(-02)
30         	6.20(-04)	3.97(-03)	1.03(-02)	1.50(-02)	1.44(-02)	1.40(-02)	1.70(-02)	1.69(-02)	1.47(-02)
31         	6.39(-04)	4.09(-03)	1.06(-02)	1.54(-02)	1.48(-02)	1.44(-02)	1.74(-02)	1.73(-02)	1.51(-02)
32         	6.57(-04)	4.20(-03)	1.09(-02)	1.58(-02)	1.52(-02)	1.47(-02)	1.78(-02)	1.77(-02)	1.54(-02)
33         	6.75(-04)	4.31(-03)	1.12(-02)	1.62(-02)	1.55(-02)	1.51(-02)	1.82(-02)	1.81(-02)	1.57(-02)
34         	6.91(-04)	4.41(-03)	1.15(-02)	1.65(-02)	1.59(-02)	1.54(-02)	1.85(-02)	1.84(-02)	1.60(-02)
35         	7.07(-04)	4.51(-03)	1.17(-02)	1.69(-02)	1.62(-02)	1.57(-02)	1.89(-02)	1.87(-02)	1.63(-02)
36         	7.21(-04)	4.60(-03)	1.19(-02)	1.72(-02)	1.65(-02)	1.59(-02)	1.92(-02)	1.90(-02)	1.66(-02)
37         	7.34(-04)	4.68(-03)	1.21(-02)	1.74(-02)	1.67(-02)	1.62(-02)	1.94(-02)	1.93(-02)	1.68(-02)
38         	7.47(-04)	4.76(-03)	1.23(-02)	1.77(-02)	1.70(-02)	1.64(-02)	1.97(-02)	1.95(-02)	1.70(-02)
39         	7.58(-04)	4.83(-03)	1.25(-02)	1.80(-02)	1.72(-02)	1.66(-02)	1.99(-02)	1.98(-02)	1.72(-02)
40         	7.69(-04)	4.89(-03)	1.27(-02)	1.82(-02)	1.74(-02)	1.68(-02)	2.01(-02)	2.00(-02)	1.74(-02)
41         	7.79(-04)	4.95(-03)	1.28(-02)	1.84(-02)	1.76(-02)	1.70(-02)	2.03(-02)	2.02(-02)	1.76(-02)
42         	7.88(-04)	5.00(-03)	1.30(-02)	1.85(-02)	1.77(-02)	1.71(-02)	2.05(-02)	2.03(-02)	1.77(-02)
43         	7.96(-04)	5.05(-03)	1.31(-02)	1.87(-02)	1.79(-02)	1.73(-02)	2.06(-02)	2.05(-02)	1.79(-02)
44         	8.03(-04)	5.09(-03)	1.32(-02)	1.89(-02)	1.80(-02)	1.74(-02)	2.08(-02)	2.06(-02)	1.80(-02)
45         	8.09(-04)	5.13(-03)	1.33(-02)	1.90(-02)	1.81(-02)	1.75(-02)	2.09(-02)	2.07(-02)	1.81(-02)
46         	8.15(-04)	5.17(-03)	1.34(-02)	1.91(-02)	1.82(-02)	1.76(-02)	2.10(-02)	2.08(-02)	1.82(-02)
47         	8.21(-04)	5.20(-03)	1.35(-02)	1.92(-02)	1.83(-02)	1.77(-02)	2.11(-02)	2.09(-02)	1.83(-02)
48         	8.26(-04)	5.23(-03)	1.35(-02)	1.93(-02)	1.84(-02)	1.78(-02)	2.12(-02)	2.10(-02)	1.83(-02)
49         	8.30(-04)	5.25(-03)	1.36(-02)	1.94(-02)	1.85(-02)	1.78(-02)	2.12(-02)	2.11(-02)	1.84(-02)
50         	8.34(-04)	5.28(-03)	1.37(-02)	1.94(-02)	1.85(-02)	1.79(-02)	2.13(-02)	2.11(-02)	1.85(-02)
55         	8.46(-04)	5.35(-03)	1.38(-02)	1.97(-02)	1.87(-02)	1.80(-02)	2.14(-02)	2.13(-02)	1.86(-02)
60         	8.51(-04)	5.37(-03)	1.39(-02)	1.97(-02)	1.87(-02)	1.80(-02)	2.14(-02)	2.12(-02)	1.86(-02)
65         	8.50(-04)	5.36(-03)	1.38(-02)	1.96(-02)	1.86(-02)	1.79(-02)	2.13(-02)	2.11(-02)	1.85(-02)
70         	8.45(-04)	5.32(-03)	1.38(-02)	1.95(-02)	1.84(-02)	1.78(-02)	2.11(-02)	2.09(-02)	1.83(-02)
75         	8.37(-04)	5.27(-03)	1.36(-02)	1.93(-02)	1.82(-02)	1.76(-02)	2.08(-02)	2.06(-02)	1.81(-02)
100         	7.81(-04)	4.91(-03)	1.27(-02)	1.79(-02)	1.68(-02)	1.62(-02)	1.92(-02)	1.91(-02)	1.68(-02)
150         	6.65(-04)	4.18(-03)	1.08(-02)	1.52(-02)	1.42(-02)	1.37(-02)	1.62(-02)	1.61(-02)	1.42(-02)
200         	5.76(-04)	3.62(-03)	9.36(-03)	1.31(-02)	1.23(-02)	1.18(-02)	1.39(-02)	1.39(-02)	1.23(-02)




Energy         	v=9         	v=10         	v=11         	v=12         	v=13         	v=14
13         	8.63(-04)	4.50(-03)	4.55(-03)	3.65(-03)	3.09(-03)	2.54(-03)
14         	6.11(-03)	8.47(-03)	7.53(-03)	5.82(-03)	4.37(-03)	3.06(-03)
15         	1.00(-02)	1.17(-02)	1.03(-02)	7.93(-03)	5.69(-03)	3.63(-03)
16         	1.03(-02)	1.13(-02)	9.89(-03)	7.55(-03)	5.47(-03)	3.44(-03)
17         	1.22(-02)	1.29(-02)	1.09(-02)	8.37(-03)	5.87(-03)	3.60(-03)
18         	1.31(-02)	1.36(-02)	1.17(-02)	8.88(-03)	6.24(-03)	3.80(-03)
19         	1.31(-02)	1.39(-02)	1.19(-02)	9.11(-03)	6.35(-03)	3.88(-03)
20         	1.31(-02)	1.40(-02)	1.21(-02)	9.19(-03)	6.42(-03)	3.93(-03)
21         	1.31(-02)	1.41(-02)	1.22(-02)	9.30(-03)	6.49(-03)	3.99(-03)
22         	1.32(-02)	1.44(-02)	1.24(-02)	9.46(-03)	6.61(-03)	4.08(-03)
23         	1.35(-02)	1.47(-02)	1.27(-02)	9.68(-03)	6.77(-03)	4.18(-03)
24         	1.38(-02)	1.51(-02)	1.31(-02)	9.94(-03)	6.95(-03)	4.30(-03)
25         	1.42(-02)	1.55(-02)	1.34(-02)	1.02(-02)	7.15(-03)	4.43(-03)
26         	1.46(-02)	1.60(-02)	1.38(-02)	1.05(-02)	7.35(-03)	4.55(-03)
27         	1.50(-02)	1.64(-02)	1.42(-02)	1.08(-02)	7.56(-03)	4.68(-03)
28         	1.54(-02)	1.69(-02)	1.46(-02)	1.11(-02)	7.76(-03)	4.80(-03)
29         	1.58(-02)	1.73(-02)	1.50(-02)	1.14(-02)	7.95(-03)	4.92(-03)
30         	1.62(-02)	1.77(-02)	1.53(-02)	1.16(-02)	8.13(-03)	5.03(-03)
31         	1.66(-02)	1.81(-02)	1.56(-02)	1.19(-02)	8.31(-03)	5.14(-03)
32         	1.70(-02)	1.84(-02)	1.59(-02)	1.21(-02)	8.47(-03)	5.24(-03)
33         	1.73(-02)	1.88(-02)	1.62(-02)	1.23(-02)	8.62(-03)	5.33(-03)
34         	1.76(-02)	1.91(-02)	1.65(-02)	1.25(-02)	8.76(-03)	5.42(-03)
35         	1.79(-02)	1.93(-02)	1.67(-02)	1.27(-02)	8.88(-03)	5.49(-03)
36         	1.81(-02)	1.96(-02)	1.69(-02)	1.29(-02)	9.00(-03)	5.56(-03)
37         	1.84(-02)	1.98(-02)	1.71(-02)	1.30(-02)	9.10(-03)	5.63(-03)
38         	1.86(-02)	2.00(-02)	1.72(-02)	1.32(-02)	9.20(-03)	5.69(-03)
39         	1.88(-02)	2.02(-02)	1.74(-02)	1.33(-02)	9.28(-03)	5.74(-03)
40         	1.89(-02)	2.04(-02)	1.75(-02)	1.34(-02)	9.36(-03)	5.79(-03)
41         	1.91(-02)	2.05(-02)	1.77(-02)	1.35(-02)	9.43(-03)	5.83(-03)
42         	1.92(-02)	2.06(-02)	1.78(-02)	1.36(-02)	9.49(-03)	5.87(-03)
43         	1.94(-02)	2.07(-02)	1.79(-02)	1.36(-02)	9.54(-03)	5.90(-03)
44         	1.95(-02)	2.08(-02)	1.79(-02)	1.37(-02)	9.59(-03)	5.93(-03)
45         	1.96(-02)	2.09(-02)	1.80(-02)	1.37(-02)	9.63(-03)	5.96(-03)
46         	1.96(-02)	2.10(-02)	1.81(-02)	1.38(-02)	9.67(-03)	5.98(-03)
47         	1.97(-02)	2.11(-02)	1.81(-02)	1.38(-02)	9.70(-03)	6.00(-03)
48         	1.98(-02)	2.11(-02)	1.81(-02)	1.39(-02)	9.72(-03)	6.01(-03)
49         	1.98(-02)	2.11(-02)	1.82(-02)	1.39(-02)	9.74(-03)	6.03(-03)
50         	1.99(-02)	2.12(-02)	1.82(-02)	1.39(-02)	9.76(-03)	6.04(-03)
55         	2.00(-02)	2.12(-02)	1.82(-02)	1.39(-02)	9.79(-03)	6.06(-03)
60         	1.99(-02)	2.11(-02)	1.81(-02)	1.39(-02)	9.75(-03)	6.04(-03)
65         	1.98(-02)	2.09(-02)	1.80(-02)	1.38(-02)	9.67(-03)	6.00(-03)
70         	1.96(-02)	2.06(-02)	1.77(-02)	1.36(-02)	9.56(-03)	5.93(-03)
75         	1.93(-02)	2.03(-02)	1.74(-02)	1.34(-02)	9.43(-03)	5.85(-03)
100         	1.78(-02)	1.86(-02)	1.60(-02)	1.23(-02)	8.68(-03)	5.40(-03)
150         	1.50(-02)	1.56(-02)	1.34(-02)	1.03(-02)	7.32(-03)	4.57(-03)
200         	1.29(-02)	1.34(-02)	1.15(-02)	8.88(-03)	6.30(-03)	3.95(-03)

