Table XIIa. Energies are in eV and Cross Sections are in Angstrom^2.

Energy         	v=0         	v=1         	v=2         	v=3         	v=4         	v=5         	v=6         	v=7         	v=8
11         	         	         	         	         	         	         	         	1.72(-06)	8.18(-06)
12         	         	         	         	         	         	2.65(-02)	4.34(-02)	6.02(-02)	6.72(-02)
13         	         	         	3.70(-02)	4.12(-02)	6.00(-02)	7.04(-02)	7.42(-02)	7.74(-02)	8.38(-02)
14         	9.53(-03)	4.39(-02)	5.03(-02)	6.15(-02)	6.81(-02)	7.34(-02)	7.53(-02)	7.81(-02)	8.19(-02)
15         	4.94(-02)	5.18(-02)	5.42(-02)	6.08(-02)	6.82(-02)	7.34(-02)	7.56(-02)	7.82(-02)	8.20(-02)
16         	6.82(-02)	6.60(-02)	6.48(-02)	6.71(-02)	7.24(-02)	7.59(-02)	7.66(-02)	7.84(-02)	8.18(-02)
17         	6.50(-02)	6.54(-02)	6.60(-02)	6.96(-02)	7.64(-02)	8.05(-02)	8.08(-02)	8.25(-02)	8.60(-02)
18         	6.10(-02)	6.27(-02)	6.45(-02)	6.95(-02)	7.77(-02)	8.29(-02)	8.36(-02)	8.56(-02)	8.95(-02)
19         	5.88(-02)	6.14(-02)	6.39(-02)	6.98(-02)	7.94(-02)	8.54(-02)	8.64(-02)	8.87(-02)	9.31(-02)
20         	5.82(-02)	6.15(-02)	6.44(-02)	7.11(-02)	8.16(-02)	8.82(-02)	8.94(-02)	9.20(-02)	9.67(-02)
21         	5.89(-02)	6.26(-02)	6.58(-02)	7.31(-02)	8.43(-02)	9.13(-02)	9.26(-02)	9.54(-02)	1.00(-01)
22         	6.05(-02)	6.44(-02)	6.78(-02)	7.55(-02)	8.72(-02)	9.45(-02)	9.59(-02)	9.88(-02)	1.04(-01)
23         	6.26(-02)	6.66(-02)	7.01(-02)	7.81(-02)	9.03(-02)	9.77(-02)	9.91(-02)	1.02(-01)	1.07(-01)
24         	6.49(-02)	6.90(-02)	7.26(-02)	8.08(-02)	9.32(-02)	1.01(-01)	1.02(-01)	1.05(-01)	1.11(-01)
25         	6.74(-02)	7.15(-02)	7.51(-02)	8.34(-02)	9.60(-02)	1.04(-01)	1.05(-01)	1.08(-01)	1.14(-01)
26         	6.98(-02)	7.39(-02)	7.75(-02)	8.59(-02)	9.86(-02)	1.06(-01)	1.08(-01)	1.11(-01)	1.16(-01)
27         	7.22(-02)	7.62(-02)	7.98(-02)	8.83(-02)	1.01(-01)	1.09(-01)	1.10(-01)	1.13(-01)	1.19(-01)
28         	7.44(-02)	7.84(-02)	8.20(-02)	9.05(-02)	1.03(-01)	1.11(-01)	1.12(-01)	1.15(-01)	1.21(-01)
29         	7.64(-02)	8.04(-02)	8.40(-02)	9.25(-02)	1.05(-01)	1.13(-01)	1.14(-01)	1.17(-01)	1.23(-01)
30         	7.83(-02)	8.23(-02)	8.58(-02)	9.43(-02)	1.07(-01)	1.15(-01)	1.16(-01)	1.19(-01)	1.24(-01)
31         	8.01(-02)	8.40(-02)	8.75(-02)	9.59(-02)	1.08(-01)	1.16(-01)	1.17(-01)	1.20(-01)	1.26(-01)
32         	8.17(-02)	8.55(-02)	8.90(-02)	9.74(-02)	1.10(-01)	1.17(-01)	1.19(-01)	1.22(-01)	1.27(-01)
33         	8.31(-02)	8.69(-02)	9.04(-02)	9.87(-02)	1.11(-01)	1.18(-01)	1.20(-01)	1.23(-01)	1.28(-01)
34         	8.44(-02)	8.82(-02)	9.16(-02)	9.98(-02)	1.12(-01)	1.19(-01)	1.21(-01)	1.24(-01)	1.29(-01)
35         	8.55(-02)	8.93(-02)	9.27(-02)	1.01(-01)	1.13(-01)	1.20(-01)	1.22(-01)	1.24(-01)	1.30(-01)
36         	8.65(-02)	9.03(-02)	9.36(-02)	1.02(-01)	1.14(-01)	1.21(-01)	1.22(-01)	1.25(-01)	1.31(-01)
37         	8.74(-02)	9.11(-02)	9.45(-02)	1.02(-01)	1.14(-01)	1.21(-01)	1.23(-01)	1.26(-01)	1.31(-01)
38         	8.82(-02)	9.19(-02)	9.52(-02)	1.03(-01)	1.15(-01)	1.22(-01)	1.23(-01)	1.26(-01)	1.31(-01)
39         	8.89(-02)	9.26(-02)	9.59(-02)	1.04(-01)	1.15(-01)	1.22(-01)	1.23(-01)	1.26(-01)	1.32(-01)
40         	8.95(-02)	9.31(-02)	9.64(-02)	1.04(-01)	1.16(-01)	1.22(-01)	1.24(-01)	1.27(-01)	1.32(-01)
41         	9.01(-02)	9.36(-02)	9.69(-02)	1.05(-01)	1.16(-01)	1.22(-01)	1.24(-01)	1.27(-01)	1.32(-01)
42         	9.05(-02)	9.40(-02)	9.73(-02)	1.05(-01)	1.16(-01)	1.23(-01)	1.24(-01)	1.27(-01)	1.32(-01)
43         	9.09(-02)	9.44(-02)	9.76(-02)	1.05(-01)	1.16(-01)	1.23(-01)	1.24(-01)	1.27(-01)	1.32(-01)
44         	9.12(-02)	9.46(-02)	9.79(-02)	1.05(-01)	1.16(-01)	1.22(-01)	1.24(-01)	1.27(-01)	1.32(-01)
45         	9.14(-02)	9.49(-02)	9.81(-02)	1.05(-01)	1.16(-01)	1.22(-01)	1.24(-01)	1.27(-01)	1.32(-01)
46         	9.16(-02)	9.50(-02)	9.82(-02)	1.05(-01)	1.16(-01)	1.22(-01)	1.24(-01)	1.26(-01)	1.32(-01)
47         	9.18(-02)	9.51(-02)	9.83(-02)	1.05(-01)	1.16(-01)	1.22(-01)	1.23(-01)	1.26(-01)	1.31(-01)
48         	9.19(-02)	9.52(-02)	9.84(-02)	1.05(-01)	1.16(-01)	1.22(-01)	1.23(-01)	1.26(-01)	1.31(-01)
49         	9.19(-02)	9.52(-02)	9.84(-02)	1.05(-01)	1.15(-01)	1.22(-01)	1.23(-01)	1.26(-01)	1.31(-01)
50         	9.19(-02)	9.52(-02)	9.84(-02)	1.05(-01)	1.15(-01)	1.21(-01)	1.23(-01)	1.25(-01)	1.30(-01)
60         	9.07(-02)	9.37(-02)	9.67(-02)	1.03(-01)	1.12(-01)	1.17(-01)	1.19(-01)	1.21(-01)	1.26(-01)
70         	8.79(-02)	9.08(-02)	9.37(-02)	9.92(-02)	1.07(-01)	1.12(-01)	1.13(-01)	1.16(-01)	1.20(-01)
85         	8.30(-02)	8.57(-02)	8.83(-02)	9.32(-02)	9.98(-02)	1.04(-01)	1.06(-01)	1.08(-01)	1.12(-01)
100         	7.81(-02)	8.06(-02)	8.31(-02)	8.74(-02)	9.31(-02)	9.70(-02)	9.85(-02)	1.01(-01)	1.04(-01)
150         	6.45(-02)	6.66(-02)	6.86(-02)	7.18(-02)	7.58(-02)	7.86(-02)	8.00(-02)	8.18(-02)	8.46(-02)
200         	5.50(-02)	5.67(-02)	5.85(-02)	6.10(-02)	6.40(-02)	6.63(-02)	6.76(-02)	6.92(-02)	7.14(-02)




Energy         	v=9         	v=10         	v=11         	v=12         	v=13         	v=14
10         	         	         	2.55(-10)	3.80(-09)	9.58(-09)	2.86(-09)
11         	1.47(-05)	3.38(-06)	5.33(-05)	4.05(-04)	1.72(-05)	1.79(-04)
12         	8.30(-02)	9.10(-02)	1.04(-01)	1.11(-01)	1.19(-01)	1.22(-01)
13         	8.97(-02)	9.61(-02)	1.02(-01)	1.07(-01)	1.10(-01)	1.11(-01)
14         	8.67(-02)	9.19(-02)	9.63(-02)	9.96(-02)	1.01(-01)	1.00(-01)
15         	8.65(-02)	9.14(-02)	9.54(-02)	9.75(-02)	9.73(-02)	9.42(-02)
16         	8.62(-02)	9.11(-02)	9.54(-02)	9.73(-02)	9.63(-02)	9.15(-02)
17         	9.00(-02)	9.52(-02)	9.93(-02)	1.01(-01)	9.89(-02)	9.24(-02)
18         	9.43(-02)	9.97(-02)	1.04(-01)	1.06(-01)	1.03(-01)	9.54(-02)
19         	9.83(-02)	1.04(-01)	1.09(-01)	1.11(-01)	1.08(-01)	9.94(-02)
20         	1.02(-01)	1.09(-01)	1.14(-01)	1.16(-01)	1.13(-01)	1.04(-01)
21         	1.06(-01)	1.13(-01)	1.19(-01)	1.21(-01)	1.18(-01)	1.09(-01)
22         	1.10(-01)	1.17(-01)	1.23(-01)	1.25(-01)	1.23(-01)	1.13(-01)
23         	1.14(-01)	1.21(-01)	1.27(-01)	1.30(-01)	1.27(-01)	1.18(-01)
24         	1.17(-01)	1.25(-01)	1.31(-01)	1.33(-01)	1.31(-01)	1.22(-01)
25         	1.20(-01)	1.28(-01)	1.34(-01)	1.37(-01)	1.35(-01)	1.25(-01)
26         	1.23(-01)	1.31(-01)	1.37(-01)	1.40(-01)	1.38(-01)	1.29(-01)
27         	1.25(-01)	1.33(-01)	1.40(-01)	1.43(-01)	1.41(-01)	1.32(-01)
28         	1.28(-01)	1.35(-01)	1.42(-01)	1.45(-01)	1.43(-01)	1.35(-01)
29         	1.30(-01)	1.38(-01)	1.44(-01)	1.47(-01)	1.46(-01)	1.37(-01)
30         	1.31(-01)	1.39(-01)	1.46(-01)	1.49(-01)	1.47(-01)	1.39(-01)
31         	1.33(-01)	1.41(-01)	1.47(-01)	1.50(-01)	1.49(-01)	1.41(-01)
32         	1.34(-01)	1.42(-01)	1.48(-01)	1.52(-01)	1.50(-01)	1.43(-01)
33         	1.35(-01)	1.43(-01)	1.49(-01)	1.53(-01)	1.52(-01)	1.44(-01)
34         	1.36(-01)	1.44(-01)	1.50(-01)	1.54(-01)	1.53(-01)	1.46(-01)
35         	1.37(-01)	1.44(-01)	1.51(-01)	1.54(-01)	1.54(-01)	1.47(-01)
36         	1.37(-01)	1.45(-01)	1.51(-01)	1.55(-01)	1.54(-01)	1.47(-01)
37         	1.38(-01)	1.45(-01)	1.52(-01)	1.55(-01)	1.55(-01)	1.48(-01)
38         	1.38(-01)	1.46(-01)	1.52(-01)	1.55(-01)	1.55(-01)	1.49(-01)
39         	1.38(-01)	1.46(-01)	1.52(-01)	1.55(-01)	1.55(-01)	1.49(-01)
40         	1.39(-01)	1.46(-01)	1.52(-01)	1.55(-01)	1.55(-01)	1.49(-01)
41         	1.39(-01)	1.46(-01)	1.52(-01)	1.55(-01)	1.55(-01)	1.50(-01)
42         	1.39(-01)	1.46(-01)	1.52(-01)	1.55(-01)	1.55(-01)	1.50(-01)
43         	1.38(-01)	1.46(-01)	1.52(-01)	1.55(-01)	1.55(-01)	1.50(-01)
44         	1.38(-01)	1.45(-01)	1.51(-01)	1.55(-01)	1.55(-01)	1.50(-01)
45         	1.38(-01)	1.45(-01)	1.51(-01)	1.55(-01)	1.55(-01)	1.50(-01)
46         	1.38(-01)	1.45(-01)	1.51(-01)	1.54(-01)	1.55(-01)	1.50(-01)
47         	1.38(-01)	1.45(-01)	1.50(-01)	1.54(-01)	1.54(-01)	1.50(-01)
48         	1.37(-01)	1.44(-01)	1.50(-01)	1.53(-01)	1.54(-01)	1.49(-01)
49         	1.37(-01)	1.44(-01)	1.49(-01)	1.53(-01)	1.54(-01)	1.49(-01)
50         	1.37(-01)	1.43(-01)	1.49(-01)	1.52(-01)	1.53(-01)	1.49(-01)
60         	1.31(-01)	1.38(-01)	1.43(-01)	1.46(-01)	1.47(-01)	1.44(-01)
70         	1.25(-01)	1.31(-01)	1.36(-01)	1.39(-01)	1.41(-01)	1.39(-01)
85         	1.17(-01)	1.22(-01)	1.26(-01)	1.29(-01)	1.31(-01)	1.30(-01)
100         	1.09(-01)	1.13(-01)	1.17(-01)	1.20(-01)	1.22(-01)	1.21(-01)
150         	8.80(-02)	9.15(-02)	9.44(-02)	9.69(-02)	9.87(-02)	9.92(-02)
200         	7.43(-02)	7.71(-02)	7.95(-02)	8.16(-02)	8.34(-02)	8.41(-02)

