Table VIIIa. Energies are in eV and Cross Sections are in Angstrom^2.

Energy         	v=0         	Energy         	v=1         	Energy         	v=2         	Energy         	v=3         	Energy         	v=4
6.58         	1.96(-05)	4.06         	1.44(-27)	3.58         	4.18(-24)	3.12         	6.33(-21)	2.70         	5.52(-18)
7.58         	1.99(-03)	5.06         	1.53(-07)	4.58         	9.10(-06)	4.12         	2.49(-04)	3.70         	3.31(-03)
8.58         	2.44(-02)	6.06         	8.18(-04)	5.58         	1.09(-02)	5.12         	5.59(-02)	4.70         	1.12(-01)
9.58         	1.01(-01)	7.06         	2.90(-02)	6.58         	1.15(-01)	6.12         	1.59(-01)	5.70         	1.77(-01)
10.58         	2.28(-01)	8.06         	1.39(-01)	7.58         	1.99(-01)	7.12         	2.19(-01)	6.70         	2.45(-01)
11.58         	3.57(-01)	9.06         	2.43(-01)	8.58         	2.42(-01)	8.12         	2.86(-01)	7.70         	3.08(-01)
12.58         	4.53(-01)	10.06         	2.77(-01)	9.58         	3.22(-01)	9.12         	3.25(-01)	8.70         	3.53(-01)
13.58         	5.13(-01)	11.06         	3.15(-01)	10.58         	3.62(-01)	10.12         	3.88(-01)	9.70         	3.94(-01)
14.58         	5.47(-01)	12.06         	3.89(-01)	11.58         	3.87(-01)	11.12         	4.21(-01)	10.70         	4.45(-01)
15.58         	5.18(-01)	13.06         	4.69(-01)	12.58         	4.38(-01)	12.12         	4.43(-01)	11.70         	4.67(-01)
16.58         	4.57(-01)	14.06         	5.28(-01)	13.58         	5.01(-01)	13.12         	4.85(-01)	12.70         	4.88(-01)
17.58         	4.04(-01)	15.06         	5.58(-01)	14.58         	5.51(-01)	14.12         	5.35(-01)	13.70         	5.26(-01)
18.58         	3.59(-01)	16.06         	4.98(-01)	15.58         	5.34(-01)	15.12         	5.65(-01)	14.70         	5.67(-01)
19.58         	3.21(-01)	17.06         	4.42(-01)	16.58         	4.78(-01)	16.12         	5.12(-01)	15.70         	5.42(-01)
20.58         	2.87(-01)	18.06         	3.93(-01)	17.58         	4.26(-01)	17.12         	4.58(-01)	16.70         	4.89(-01)
21.58         	2.59(-01)	19.06         	3.50(-01)	18.58         	3.80(-01)	18.12         	4.09(-01)	17.70         	4.38(-01)
