Table XXIa. Energies are in eV and Cross Sections are in Angstrom^2.

Energy         	v=0         	v=1         	v=2         	v=3         	v=4         	v=5
1.44         	         	         	         	         	         	1.16(+00)
1.50         	         	         	         	         	         	1.14(+00)
1.60         	         	         	         	         	         	8.83(-01)
1.70         	         	         	         	         	         	7.14(-01)
1.80         	         	         	         	         	         	5.47(-01)
1.84         	         	         	         	         	3.22(-01)	
1.90         	         	         	         	         	3.14(-01)	4.40(-01)
2.00         	         	         	         	         	2.45(-01)	3.40(-01)
2.10         	         	         	         	         	2.00(-01)	2.68(-01)
2.20         	         	         	         	         	1.56(-01)	2.16(-01)
2.27         	         	         	         	6.33(-02)	         	
2.30         	         	         	         	6.46(-02)	1.27(-01)	1.72(-01)
2.40         	         	         	         	5.42(-02)	1.01(-01)	1.38(-01)
2.50         	         	         	         	4.26(-02)	8.06(-02)	1.11(-01)
2.60         	         	         	         	3.54(-02)	6.60(-02)	8.99(-02)
2.70         	         	         	         	2.78(-02)	5.29(-02)	7.35(-02)
2.73         	         	         	7.92(-03)	         	         	
2.80         	         	         	7.44(-03)	2.21(-02)	4.24(-02)	6.04(-02)
2.90         	         	         	6.00(-03)	1.82(-02)	3.41(-02)	4.98(-02)
3.00         	         	         	5.05(-03)	1.46(-02)	2.74(-02)	4.11(-02)
3.10         	         	         	4.03(-03)	1.17(-02)	2.19(-02)	3.40(-02)
3.20         	         	         	3.35(-03)	9.28(-03)	1.75(-02)	2.79(-02)
3.21         	         	5.54(-04)	         	         	         	
3.30         	         	5.06(-04)	2.68(-03)	7.36(-03)	1.39(-02)	2.27(-02)
3.40         	         	4.15(-04)	2.16(-03)	5.83(-03)	1.10(-02)	1.83(-02)
3.50         	         	3.56(-04)	1.77(-03)	4.62(-03)	8.63(-03)	1.45(-02)
3.60         	         	2.88(-04)	1.41(-03)	3.65(-03)	6.75(-03)	1.13(-02)
3.70         	         	2.43(-04)	1.12(-03)	2.88(-03)	5.26(-03)	8.69(-03)
3.73         	1.65(-05)	         	         	         	         	
3.80         	1.51(-05)	1.96(-04)	8.93(-04)	2.26(-03)	4.09(-03)	6.59(-03)
3.90         	1.27(-05)	1.60(-04)	7.08(-04)	1.78(-03)	3.17(-03)	4.95(-03)
4.00         	1.11(-05)	1.32(-04)	5.62(-04)	1.39(-03)	2.45(-03)	3.67(-03)
4.10         	9.20(-06)	1.06(-04)	4.45(-04)	1.09(-03)	1.90(-03)	2.69(-03)
4.20         	7.88(-06)	8.48(-05)	3.51(-04)	8.56(-04)	1.48(-03)	1.95(-03)
4.30         	6.48(-06)	6.78(-05)	2.77(-04)	6.73(-04)	1.15(-03)	1.42(-03)
4.40         	5.34(-06)	5.41(-05)	2.17(-04)	5.30(-04)	9.08(-04)	1.04(-03)
4.50         	4.46(-06)	4.31(-05)	1.71(-04)	4.17(-04)	7.24(-04)	7.81(-04)
4.60         	3.63(-06)	3.42(-05)	1.34(-04)	3.29(-04)	5.83(-04)	6.15(-04)
4.70         	2.93(-06)	2.70(-05)	1.05(-04)	2.60(-04)	4.74(-04)	5.12(-04)
4.80         	2.36(-06)	2.13(-05)	8.21(-05)	2.05(-04)	3.89(-04)	4.50(-04)
4.90         	1.89(-06)	1.67(-05)	6.41(-05)	1.61(-04)	3.19(-04)	4.14(-04)
5.00         	1.51(-06)	1.31(-05)	4.99(-05)	1.26(-04)	2.62(-04)	3.90(-04)

